"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724254665918181E9,"2024-08-21 17:37:45.918 UTC+02:00"
"PAUSE",1.652150420833277E1,1.724254682439628E9,"2024-08-21 17:38:02.440 UTC+02:00"
