"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.139874999E-3,-7.233622018E-4,-1.643775031E-4,1.331438310E-3,1.524139368E-3
1.109687500E-2,-2.983320737E-4,1.974361017E-3,4.656799138E-4,2.050356368E-3
2.105387500E-2,1.654297695E-3,3.877561539E-5,-1.723703928E-3,2.389426635E-3
3.100987500E-2,-8.741266793E-4,-4.684263840E-4,1.267863438E-3,1.609657860E-3
4.096687500E-2,-1.782264677E-3,1.848257147E-3,5.277711898E-4,2.621271502E-3
5.092387500E-2,1.978184097E-3,5.893418565E-4,9.309267625E-4,2.264323471E-3
6.088087500E-2,8.149154019E-4,-1.018407755E-3,-6.965314969E-4,1.478647217E-3
7.083725000E-2,-7.975264452E-5,-8.831592277E-4,1.716203988E-3,1.931757447E-3
8.079425000E-2,8.933664067E-4,-9.473413229E-4,1.641368493E-3,2.095149076E-3
9.075025000E-2,-2.898555249E-3,1.777510159E-3,2.937508747E-3,4.493342023E-3
1.007072500E-1,3.244023537E-4,-1.303767785E-3,2.938840538E-3,3.231382217E-3
1.106642500E-1,-2.084310399E-4,-2.374546602E-4,3.853682429E-4,4.983341215E-4
1.206212500E-1,1.095985295E-3,-3.142164089E-3,1.447970048E-3,3.629186712E-3
1.305782500E-1,-1.016089576E-3,5.087228492E-4,9.806267917E-4,1.500954986E-3
1.405352500E-1,-2.150862478E-3,-1.107017510E-3,1.666391268E-3,2.937440557E-3
1.504912500E-1,-2.903892891E-4,1.849002205E-3,1.553173177E-3,2.432176394E-3
1.604482500E-1,-4.216831876E-4,-8.530411869E-4,-7.179696113E-4,1.192047122E-3
1.704052500E-1,1.952232560E-4,1.348806545E-3,1.144454814E-3,1.779653910E-3
1.803622500E-1,2.242661547E-3,1.229230314E-3,9.652236477E-4,2.733531538E-3
1.903192500E-1,3.767374437E-4,-1.440541819E-3,7.682014257E-5,1.490970545E-3
2.002762500E-1,1.303251251E-3,1.613571309E-3,1.018540934E-4,2.076644035E-3
2.102322500E-1,7.357420400E-4,-1.645997167E-3,-2.716071904E-4,1.823291937E-3
2.201892500E-1,1.455328194E-3,-9.266771376E-4,-2.940095030E-3,3.408939638E-3
2.301462500E-1,7.257835241E-4,-7.086740807E-4,-2.554990351E-3,2.748991883E-3
2.401032500E-1,9.849091293E-4,1.548088156E-3,5.836971104E-5,1.835764134E-3
2.500602500E-1,4.896774190E-4,-1.159581356E-3,-1.528644003E-3,1.980193269E-3
2.600172500E-1,9.773022030E-4,2.103485167E-4,3.294441849E-4,1.052568081E-3
