"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.873124999E-3,4.096425837E-4,1.502512023E-4,-2.124777064E-2,2.125225022E-2
1.583012500E-2,4.658353282E-4,-2.570699900E-3,-2.202168480E-2,2.217611557E-2
2.578712500E-2,1.595409354E-3,-1.627125777E-3,-2.197848633E-2,2.209630581E-2
3.574412500E-2,5.344059318E-4,-1.057475805E-3,-2.453405596E-2,2.456264943E-2
4.570012500E-2,1.326420810E-3,3.125807270E-4,-2.453065664E-2,2.456848009E-2
5.565712500E-2,1.107509015E-3,-1.404229552E-4,-2.445022762E-2,2.447570071E-2
6.561412500E-2,3.111171536E-3,-5.019791424E-4,-2.351817116E-2,2.372837428E-2
7.557112500E-2,6.586663658E-4,3.382479772E-4,-2.468037605E-2,2.469148062E-2
8.552812500E-2,1.238110475E-3,-3.410748206E-3,-2.179123089E-2,2.209126217E-2
9.548512500E-2,-4.439419135E-4,-1.379555091E-3,-2.221227810E-2,2.225950482E-2
1.054421250E-1,-1.740218839E-3,1.371558756E-5,-2.443360351E-2,2.449550020E-2
1.153991250E-1,3.924405901E-4,-1.492035575E-3,-2.418246679E-2,2.423162974E-2
1.253561250E-1,8.205962367E-4,-5.670338869E-4,-2.216700464E-2,2.218943443E-2
1.353121250E-1,7.624272257E-5,1.856176183E-3,-2.088016458E-2,2.096264477E-2
1.452691250E-1,7.506944239E-4,-3.215279430E-4,-1.984622329E-2,1.986301844E-2
1.552261250E-1,-5.302859936E-4,-2.106645145E-3,-1.938229986E-2,1.950365875E-2
1.651831250E-1,-2.339342842E-3,9.181909263E-4,-2.154728025E-2,2.169333736E-2
1.751401250E-1,-1.639197581E-3,1.288298517E-4,-2.193317562E-2,2.199472116E-2
1.850971250E-1,3.113743151E-4,1.584086567E-4,-2.195178345E-2,2.195456317E-2
1.950541250E-1,8.501317352E-4,2.090083435E-4,-2.054749988E-2,2.056614110E-2
2.050111250E-1,-1.144636190E-3,5.638087168E-4,-2.011449449E-2,2.015492398E-2
2.149671250E-1,-1.674338942E-3,5.741948262E-4,-1.999891363E-2,2.007709284E-2
2.249241250E-1,-2.102762228E-3,1.565353945E-3,-1.933723874E-2,1.951411654E-2
2.348811250E-1,1.448030234E-3,1.741182059E-4,-1.955907978E-2,1.961338091E-2
2.448381250E-1,2.437479561E-4,-4.797112197E-4,-2.091128752E-2,2.091820933E-2
2.547951250E-1,9.674148168E-5,1.514463685E-3,-1.975121349E-2,1.980942689E-2
2.647521250E-1,-1.361130271E-3,1.124170609E-3,-2.199456096E-2,2.206529281E-2
2.747091250E-1,-9.896191768E-4,-4.204632714E-4,-1.991596445E-2,1.994496868E-2
2.846661250E-1,-4.965527914E-4,-3.117138520E-3,-2.098051272E-2,2.121662158E-2
2.946231250E-1,4.557935754E-4,7.173046470E-5,-1.986864209E-2,1.987399888E-2
3.045791250E-1,1.152319368E-3,-1.890999265E-3,-2.021868154E-2,2.033958705E-2
3.145361250E-1,-6.021710578E-4,-9.386530146E-4,-2.050550282E-2,2.053580593E-2
3.244931250E-1,1.153577352E-3,-1.417219639E-3,-1.820874400E-2,1.830020793E-2
3.344501250E-1,-2.594555495E-3,-1.198840328E-3,-1.765320823E-2,1.788308410E-2
3.444071250E-1,-4.397968296E-4,-6.072409451E-4,-1.835753582E-2,1.837284094E-2
3.543641250E-1,8.518361719E-4,1.176544465E-3,-1.898151450E-2,1.903701065E-2
3.643211250E-1,2.015171340E-4,-5.739042535E-4,-2.018903010E-2,2.019819080E-2
3.742781250E-1,-2.272101119E-5,-1.457007602E-3,-1.814984903E-2,1.820825107E-2
3.842351250E-1,-2.053088509E-3,2.506943420E-4,-1.838855259E-2,1.850450990E-2
3.941911250E-1,2.283869311E-3,-1.019101590E-3,-2.044025064E-2,2.059268009E-2
4.041481250E-1,-5.388524150E-4,-7.482888177E-4,-1.973426342E-2,1.975579537E-2
4.141051250E-1,2.481705043E-3,-1.023393124E-3,-2.271966822E-2,2.287770788E-2
4.240621250E-1,1.103980700E-3,2.553569153E-3,-1.937777549E-2,1.957645708E-2
4.340191250E-1,-2.159723081E-3,3.394167870E-4,-1.730024256E-2,1.743783244E-2
4.439761250E-1,1.522967825E-3,-2.150300890E-3,-1.845998690E-2,1.864710007E-2
4.539331250E-1,-2.288015559E-3,-2.753773704E-3,-1.951939240E-2,1.984502367E-2
4.638901250E-1,-1.728468924E-3,-2.757078037E-4,-1.842251420E-2,1.850547619E-2
4.738461250E-1,-1.159884152E-3,-2.972424030E-3,-2.167610079E-2,2.190967780E-2
4.838031250E-1,-6.135186413E-4,-6.488403305E-4,-2.032101527E-2,2.034062586E-2
4.937601250E-1,-3.486802801E-3,-1.460351050E-4,-2.001102269E-2,2.031305366E-2
5.037171250E-1,9.235104080E-4,-3.427267075E-7,-1.802312210E-2,1.804676708E-2
5.136741250E-1,-6.967567606E-4,1.217254438E-3,-1.611576602E-2,1.617668361E-2
5.236311250E-1,9.614344453E-4,9.824819863E-4,-1.643096283E-2,1.648836458E-2
5.335881250E-1,5.483782152E-4,9.625079110E-4,-1.952928491E-2,1.956067763E-2
5.435451250E-1,-3.265617415E-4,6.286613643E-5,-2.080067992E-2,2.080333819E-2
5.535021250E-1,6.255183835E-4,6.892420352E-4,-1.946031302E-2,1.948255914E-2
5.634581250E-1,9.793068748E-4,-1.631583087E-3,-1.826199703E-2,1.836087255E-2
5.734151250E-1,2.021135530E-3,1.193764620E-3,-1.554211043E-2,1.571837331E-2
5.833721250E-1,-2.671700204E-4,2.444319427E-3,-1.684073731E-2,1.701929818E-2
5.933291250E-1,-7.643821882E-4,-4.380196333E-4,-1.745166630E-2,1.747388903E-2
6.032861250E-1,-4.311196972E-5,8.281627670E-4,-1.674786769E-2,1.676838646E-2
6.132431250E-1,9.640955832E-4,-1.485059038E-3,-1.868292131E-2,1.876663073E-2
6.232001250E-1,8.893095655E-4,-1.063200645E-3,-1.879079081E-2,1.884184403E-2
6.331571250E-1,1.957503380E-3,-1.041096635E-3,-1.920757443E-2,1.933511358E-2
6.431131250E-1,7.796997670E-5,-8.773859590E-4,-1.739732549E-2,1.741961020E-2
6.530701250E-1,1.010608859E-3,1.137295738E-3,-1.704525575E-2,1.711302181E-2
6.630271250E-1,-4.305467010E-4,-5.370015278E-4,-1.622838154E-2,1.624297105E-2
6.729841250E-1,-1.565053128E-3,4.973700270E-4,-1.607498340E-2,1.615864659E-2
6.829411250E-1,5.712539423E-4,2.735326998E-3,-1.743308641E-2,1.765561799E-2
6.928981250E-1,1.855696552E-3,5.805119872E-5,-1.701816544E-2,1.711913942E-2
7.028551250E-1,7.135779597E-4,1.596026123E-3,-1.859367080E-2,1.867568169E-2
7.128121250E-1,-2.398337238E-4,-3.420038149E-3,-1.723439433E-2,1.757209518E-2
7.227691250E-1,1.486324472E-3,7.867813110E-4,-1.909008995E-2,1.916402148E-2
7.327251250E-1,2.865704009E-4,-1.487025991E-3,-1.558377221E-2,1.565718127E-2
7.426821250E-1,-1.547677675E-4,-3.276587464E-3,-1.608806290E-2,1.641906655E-2
7.526391250E-1,1.265762374E-3,2.265184186E-3,-1.743801869E-2,1.763002297E-2
7.625961250E-1,-8.008666337E-4,-2.373573370E-3,-1.769807376E-2,1.787448049E-2
7.725531250E-1,3.967568045E-4,1.619303599E-3,-1.928212307E-2,1.935406496E-2
7.825101250E-1,-6.380153354E-4,2.595398575E-3,-1.676491648E-2,1.697661868E-2
7.924671250E-1,1.128992066E-3,3.996221349E-4,-1.615638286E-2,1.620071073E-2
8.024241250E-1,5.301171914E-4,2.232359722E-3,-1.763821766E-2,1.778682592E-2
8.123811250E-1,5.197308492E-4,-1.147724688E-3,-1.904623210E-2,1.908785869E-2
8.223371250E-1,-5.981666036E-4,1.593740657E-3,-1.558774803E-2,1.568042414E-2
8.322941250E-1,-1.464492874E-3,1.148725860E-3,-1.311021019E-2,1.324167367E-2
8.422511250E-1,-2.163425088E-4,1.033524051E-3,-1.639591902E-2,1.642988547E-2
8.522081250E-1,2.268387005E-3,1.263088547E-3,-1.860847324E-2,1.878872664E-2
8.621651250E-1,1.631092979E-3,-3.759823740E-4,-1.744878292E-2,1.752888623E-2
8.721221250E-1,-7.875900483E-4,-1.795713790E-3,-1.665888913E-2,1.677389261E-2
