"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.833083330E-3,1.606420148E-3,-8.651521057E-4,-4.165532440E-2,4.169526502E-2
1.379008333E-2,1.304620178E-3,-3.002546728E-4,-4.251654446E-2,4.253761558E-2
2.374608333E-2,2.257499145E-3,1.849737018E-4,-5.059870705E-2,5.064937979E-2
3.370308333E-2,2.844354603E-4,1.401098445E-3,-5.264192820E-2,5.266133861E-2
4.366008333E-2,6.499094889E-5,-1.166721806E-3,-5.539324135E-2,5.540556516E-2
5.361708333E-2,-6.425916217E-5,1.083531417E-3,-5.829492211E-2,5.830502649E-2
6.357308333E-2,-1.094103558E-3,-1.224364154E-3,-5.646239966E-2,5.648627006E-2
7.353008333E-2,-1.768538496E-3,-1.973314211E-4,-5.656211451E-2,5.659010042E-2
8.348708333E-2,7.756473497E-5,5.673430860E-5,-5.538233370E-2,5.538241707E-2
9.344308333E-2,-3.110080492E-3,-1.160721295E-3,-5.695943534E-2,5.705608775E-2
1.034000833E-1,-7.649008185E-4,-2.355128527E-5,-5.922072381E-2,5.922566805E-2
1.133570833E-1,2.685021609E-4,5.675610155E-4,-6.095600873E-2,6.095924228E-2
1.233140833E-1,-2.763806842E-4,2.470123582E-3,-6.106439605E-2,6.111496022E-2
1.332700833E-1,-2.010605065E-3,-4.318989813E-4,-5.802888051E-2,5.806530842E-2
1.432270833E-1,-1.979179913E-3,7.705185562E-4,-5.553003773E-2,5.557063921E-2
1.531840833E-1,2.427031985E-3,-6.546778604E-4,-5.325627699E-2,5.331557115E-2
1.631400833E-1,-7.367646322E-5,-1.366008073E-3,-5.356333777E-2,5.358080402E-2
1.730970833E-1,-1.844189828E-3,-2.209072933E-3,-5.387765542E-2,5.395445109E-2
1.830540833E-1,-1.651376951E-3,1.235193573E-3,-5.973048508E-2,5.976607396E-2
1.930110833E-1,-1.073421910E-3,-4.553245381E-4,-5.778641999E-2,5.779818241E-2
2.029670833E-1,2.270177007E-3,-3.282270394E-3,-5.917765573E-2,5.931207246E-2
2.129240833E-1,-8.155060932E-4,-1.495230012E-3,-5.624274537E-2,5.626852735E-2
2.228810833E-1,3.184677335E-4,-2.309624106E-3,-5.563367903E-2,5.568251097E-2
