"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339392857879E9,"2024-08-22 17:09:52.858 UTC+02:00"
"PAUSE",1.056891554166941E1,1.724339403426212E9,"2024-08-22 17:10:03.426 UTC+02:00"
