"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339542018096E9,"2024-08-22 17:12:22.018 UTC+02:00"
"PAUSE",1.051416208333467E1,1.724339552531679E9,"2024-08-22 17:12:32.532 UTC+02:00"
