"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339667234201E9,"2024-08-22 17:14:27.234 UTC+02:00"
"PAUSE",1.239798437499849E1,1.724339679631501E9,"2024-08-22 17:14:39.632 UTC+02:00"
