"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.712666665E-3,-2.285327995E-3,-1.992236823E-3,6.321845576E-3,7.011238342E-3
1.466966667E-2,1.982516842E-3,2.990094945E-4,-1.549854875E-3,2.534132956E-3
2.462666667E-2,-9.821099229E-5,1.594591886E-4,1.317836344E-3,1.331076730E-3
3.458366667E-2,-6.674644537E-4,-3.689480945E-4,-8.073356003E-4,1.110595455E-3
4.453966667E-2,-1.112212427E-3,2.097139135E-3,3.637745976E-3,4.343754692E-3
5.449666667E-2,-3.305184655E-4,-2.212225460E-3,5.470566452E-3,5.910184535E-3
6.445366667E-2,1.059917849E-3,-1.020194031E-3,6.313990802E-3,6.483108942E-3
7.441066666E-2,-2.403369639E-3,1.758167520E-3,4.664383829E-3,5.533878852E-3
8.436766667E-2,-1.455284189E-3,8.111475036E-4,3.236129880E-3,3.639828148E-3
9.432466666E-2,-3.965171054E-4,-3.025004640E-3,1.593330875E-3,3.441886425E-3
1.042816667E-1,-1.535284799E-3,1.723145135E-3,3.901142627E-4,2.340623358E-3
1.142376667E-1,5.280050682E-4,1.781850122E-3,3.375172615E-3,3.852994860E-3
1.241946667E-1,9.231199510E-5,-1.051753759E-3,5.435127765E-3,5.536724781E-3
1.341516667E-1,9.452332743E-4,3.113392740E-4,5.607452244E-3,5.695078467E-3
1.441086667E-1,3.995515872E-4,7.563531399E-4,4.150968045E-3,4.238189148E-3
1.540656667E-1,1.015892718E-3,-3.937669098E-4,1.106437296E-3,1.552834145E-3
1.640226667E-1,-3.505751956E-4,-7.098838687E-4,-2.809740603E-3,2.919157469E-3
1.739796667E-1,9.541125037E-4,-2.380133606E-3,-4.742890596E-4,2.607741699E-3
1.839366667E-1,1.469434239E-3,7.964847609E-4,1.213621348E-3,2.065551194E-3
1.938926667E-1,-2.292694291E-3,3.001280129E-4,4.005527124E-3,4.625015835E-3
2.038496667E-1,-1.546210377E-3,1.563178375E-4,6.950451061E-3,7.122076365E-3
2.138066667E-1,-1.454470214E-3,1.747841947E-3,4.967113957E-3,5.462843228E-3
2.237636667E-1,5.359762581E-4,-1.059396192E-3,9.137820452E-4,1.498195070E-3
2.337206667E-1,6.907413481E-4,3.532860428E-4,1.054851338E-3,1.309444914E-3
2.436776667E-1,5.778233754E-4,8.518304676E-4,2.375282347E-4,1.056368620E-3
2.536346667E-1,-1.555164577E-3,1.180329360E-3,2.698166296E-3,3.330437752E-3
2.635906667E-1,-5.301139317E-4,6.311852485E-4,1.853412017E-3,2.028435778E-3
2.735476667E-1,-3.370046616E-4,1.175076701E-3,6.116602570E-3,6.237563979E-3
2.835046667E-1,7.026934763E-4,1.706111245E-3,1.294950023E-3,2.254215887E-3
2.934616667E-1,-1.452167984E-3,4.870723933E-5,3.548929468E-3,3.834848708E-3
3.034186667E-1,2.004881389E-3,-3.576911986E-4,-5.062650889E-4,2.098522509E-3
3.133756667E-1,3.220870160E-3,3.018379211E-4,-2.875030041E-4,3.247732854E-3
3.233326667E-1,-2.654063283E-3,-1.796199940E-3,1.829177141E-3,3.690023733E-3
3.332896667E-1,-1.437849132E-3,1.729594544E-3,3.715120256E-3,4.342928267E-3
3.432456667E-1,1.238284167E-4,-1.662206836E-3,5.075728521E-3,5.342404427E-3
3.532026667E-1,-1.254217001E-3,1.370599493E-4,3.382794559E-3,3.610421685E-3
3.631596667E-1,6.819011178E-4,5.152290687E-4,8.264258504E-4,1.188877544E-3
3.731166667E-1,-7.684472948E-4,-1.375033520E-3,7.063765079E-4,1.726324476E-3
3.830736667E-1,-1.820190810E-4,-3.241496161E-4,2.814268693E-3,2.838716646E-3
3.930306667E-1,7.619765820E-4,-4.457421601E-4,1.598702744E-3,1.826237895E-3
4.029876667E-1,4.200267140E-4,-1.820465550E-3,3.657326102E-3,4.106890731E-3
4.129436667E-1,8.202461759E-4,1.231453381E-3,2.347821370E-3,2.775166014E-3
4.229006667E-1,3.070550738E-4,-2.144902013E-3,1.884430647E-3,2.871579065E-3
4.328576667E-1,3.720630193E-4,5.865655839E-5,-4.562735558E-5,3.794118313E-4
4.428146667E-1,-2.248753794E-3,-9.703887627E-4,-1.103967428E-3,2.686501825E-3
