"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339984812362E9,"2024-08-22 17:19:44.812 UTC+02:00"
"PAUSE",7.478871708332008E0,1.724339992290822E9,"2024-08-22 17:19:52.291 UTC+02:00"
