"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.105874999E-3,-2.291875193E-3,-9.074527770E-5,1.805764884E-1,1.805910548E-1
1.306187500E-2,-3.795762314E-3,1.754025929E-3,1.835959852E-1,1.836435956E-1
2.301787500E-2,-8.457517251E-4,2.814969048E-4,1.887571365E-1,1.887592411E-1
3.297387500E-2,-3.450855613E-3,1.441037282E-3,1.879555136E-1,1.879927128E-1
4.292987500E-2,-1.745541464E-3,3.937345929E-3,1.895919740E-1,1.896408875E-1
5.288587500E-2,-4.293920007E-3,2.995385788E-3,1.929358244E-1,1.930068455E-1
6.284187500E-2,-2.619367093E-3,2.741362900E-3,1.979792714E-1,1.980155753E-1
7.279787500E-2,-1.682999893E-3,1.744541340E-3,2.028797567E-1,2.028942374E-1
8.275387500E-2,1.545351697E-4,4.704611376E-3,2.015252560E-1,2.015802224E-1
9.270987500E-2,-2.099031582E-3,8.592735976E-4,2.028246224E-1,2.028373036E-1
1.026658750E-1,-8.945772424E-4,3.490731586E-3,2.012491822E-1,2.012814418E-1
1.126218750E-1,-3.244284075E-3,-4.142615944E-4,2.083347887E-1,2.083604597E-1
1.225778750E-1,-2.890546806E-3,3.593199886E-3,2.173058540E-1,2.173547803E-1
1.325338750E-1,-2.372295596E-3,1.622993499E-3,2.208814025E-1,2.209001038E-1
1.424898750E-1,-1.022742363E-3,2.864515409E-3,2.221055329E-1,2.221263586E-1
1.524458750E-1,-1.238991041E-3,3.952949774E-3,2.249295563E-1,2.249677003E-1
1.624018750E-1,-4.308943171E-3,3.073628061E-3,2.234841585E-1,2.235468257E-1
1.723578750E-1,1.158526284E-3,1.900238916E-3,2.243105173E-1,2.243215577E-1
1.823138750E-1,-8.261572802E-4,3.415808082E-3,2.261158973E-1,2.261432053E-1
1.922698750E-1,-1.324701007E-3,3.778796643E-3,2.271183133E-1,2.271536097E-1
2.022258750E-1,-2.659369027E-3,2.763549797E-3,2.318645418E-1,2.318962595E-1
2.121818750E-1,-3.140069311E-3,5.945228040E-3,2.357452810E-1,2.358411399E-1
2.221378750E-1,-1.783238142E-3,2.388282679E-3,2.416878939E-1,2.417062719E-1
2.320938750E-1,-2.550494857E-3,3.581911325E-3,2.435086966E-1,2.435483944E-1
2.420498750E-1,-3.608462401E-3,1.787856221E-3,2.463285178E-1,2.463614339E-1
2.520058750E-1,-3.133354709E-3,2.450717613E-3,2.444395423E-1,2.444719079E-1
2.619618750E-1,-6.471384317E-3,4.245555494E-3,2.460447401E-1,2.461664430E-1
2.719178750E-1,-3.491572803E-3,7.104752585E-4,2.470623404E-1,2.470880327E-1
2.818738750E-1,-3.072670428E-3,9.311232716E-4,2.540290356E-1,2.540493244E-1
2.918298750E-1,-3.993058577E-3,2.832087688E-3,2.564519644E-1,2.564986847E-1
3.017858750E-1,-4.238879774E-3,1.936424524E-4,2.614846230E-1,2.615190502E-1
3.117418750E-1,-1.439364511E-3,2.534294501E-3,2.651278377E-1,2.651438567E-1
3.216978750E-1,-4.373661708E-3,3.462013323E-3,2.686374485E-1,2.686953539E-1
3.316538750E-1,-2.484415192E-3,2.990633249E-3,2.701109648E-1,2.701389448E-1
3.416098750E-1,-1.982396236E-3,1.455456018E-3,2.668435276E-1,2.668548603E-1
3.515658750E-1,-3.255387302E-3,3.107946832E-3,2.683476806E-1,2.683854216E-1
3.615218750E-1,-3.082222538E-3,3.154783044E-3,2.681494653E-1,2.681857351E-1
3.714778750E-1,-1.824677689E-3,2.295647748E-3,2.723892331E-1,2.724050179E-1
3.814338750E-1,-7.106108824E-4,5.182697903E-3,2.748558819E-1,2.749056586E-1
3.913898750E-1,-4.154877272E-3,1.185559668E-3,2.760249972E-1,2.760588119E-1
4.013458750E-1,-1.690901117E-3,3.079352435E-3,2.681607008E-1,2.681837113E-1
4.113018750E-1,-4.349534400E-3,2.214357257E-3,2.663151324E-1,2.663598535E-1
4.212578750E-1,-5.361603107E-3,-4.562316462E-4,2.644582987E-1,2.645130369E-1
4.312138750E-1,-1.309337327E-3,1.429553144E-3,2.664287686E-1,2.664358211E-1
4.411698750E-1,-3.045719583E-3,2.163835801E-3,2.667128742E-1,2.667390407E-1
4.511258750E-1,-6.603968795E-3,3.261590376E-3,2.694236934E-1,2.695243532E-1
4.610818750E-1,-2.719614888E-3,4.692597780E-3,2.666657269E-1,2.667208779E-1
4.710378750E-1,-4.034949467E-3,1.991087571E-3,2.683336735E-1,2.683713948E-1
4.809938750E-1,-2.080992563E-3,2.059551887E-3,2.681863904E-1,2.682023719E-1
4.909498750E-1,-3.927362151E-3,6.765723228E-4,2.667776048E-1,2.668073694E-1
5.009058750E-1,-2.038314240E-3,1.261988655E-3,2.667981386E-1,2.668089094E-1
5.108618750E-1,-1.376252389E-3,2.318730578E-3,2.661933303E-1,2.662069865E-1
5.208178750E-1,-1.672696904E-3,3.385683987E-3,2.642957866E-1,2.643227641E-1
5.307738750E-1,-3.034637310E-3,1.155020669E-3,2.622360885E-1,2.622561900E-1
