"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724338229116698E9,"2024-08-22 16:50:29.117 UTC+02:00"
"PAUSE",1.101324324999950E1,1.724338240129334E9,"2024-08-22 16:50:40.129 UTC+02:00"
