"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724254874701339E9,"2024-08-21 17:41:14.701 UTC+02:00"
"PAUSE",1.767043220833511E1,1.724254892371709E9,"2024-08-21 17:41:32.372 UTC+02:00"
