"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.188333341E-4,4.558777437E-5,-4.122406244E-4,-3.325121105E-2,3.325379763E-2
1.077583334E-2,-1.257208642E-3,8.899336681E-4,-3.277398273E-2,3.281015848E-2
2.073283333E-2,7.047421532E-4,-1.690136269E-3,-3.157715872E-2,3.163020985E-2
3.068983334E-2,-1.684828196E-3,-1.791493036E-3,-3.187855706E-2,3.197327780E-2
4.064683333E-2,1.835338073E-3,-1.503605396E-3,-3.185352311E-2,3.194176309E-2
5.060383334E-2,4.141291138E-4,-7.525626570E-4,-2.797751129E-2,2.799069473E-2
6.055983333E-2,1.233118819E-4,1.144673675E-3,-2.894131094E-2,2.896420140E-2
7.051683333E-2,2.545398194E-3,-5.433689803E-4,-3.286624700E-2,3.296914457E-2
8.047383334E-2,-4.413370043E-4,-4.029832780E-5,-3.002705239E-2,3.003032263E-2
9.042995833E-2,6.069297669E-4,1.034271903E-3,-3.127840534E-2,3.130138531E-2
1.003869583E-1,-1.357151428E-3,-9.769471362E-4,-3.268109262E-2,3.272384605E-2
1.103439583E-1,-8.071084740E-4,-1.348387450E-4,-2.892480604E-2,2.893637866E-2
1.203009583E-1,-1.123492024E-3,6.803553551E-4,-2.691225521E-2,2.694428693E-2
1.302579583E-1,-8.111709030E-4,1.074681990E-3,-2.622006647E-2,2.625461532E-2
1.402149583E-1,-4.628292518E-4,-4.393253475E-4,-3.005262092E-2,3.005939523E-2
1.501719583E-1,1.084395917E-3,1.608311199E-3,-3.242273256E-2,3.248070452E-2
1.601289583E-1,-1.448003808E-3,-9.816130623E-4,-3.082803264E-2,3.087762743E-2
1.700859583E-1,9.382452117E-4,1.182385720E-3,-3.201337904E-2,3.204894347E-2
1.800429583E-1,1.544646919E-3,1.869214699E-3,-2.962665446E-2,2.972572206E-2
1.899999583E-1,3.257803153E-3,-2.717291936E-4,-2.816438302E-2,2.835347579E-2
1.999569583E-1,2.480692696E-3,-8.778646588E-4,-2.851485647E-2,2.863601792E-2
2.099139583E-1,3.484125249E-3,-4.555787891E-4,-2.895307913E-2,2.916551855E-2
2.198699583E-1,2.598362043E-4,-7.991259918E-4,-2.886226401E-2,2.887449395E-2
2.298269583E-1,7.298926357E-4,1.219202764E-3,-3.238961846E-2,3.242077393E-2
2.397839583E-1,1.310195425E-3,-3.350181505E-4,-3.255153820E-2,3.257961768E-2
2.497409583E-1,3.188299946E-3,2.218615264E-3,-2.894356847E-2,2.920304207E-2
2.596979583E-1,2.439685166E-3,-1.001146622E-3,-2.902000211E-2,2.913957585E-2
2.696549583E-1,7.415693253E-4,3.348998725E-4,-2.725338005E-2,2.726552414E-2
2.796119583E-1,-4.983985564E-4,-1.862474717E-3,-2.902784385E-2,2.909180179E-2
2.895689583E-1,-8.941247361E-4,-9.507481009E-4,-2.986976504E-2,2.989826491E-2
2.995259583E-1,-1.587878098E-3,-1.162203960E-3,-3.201387450E-2,3.207429244E-2
3.094829583E-1,1.872551395E-3,-1.026155427E-3,-3.134718537E-2,3.141982614E-2
3.194399583E-1,-2.892110264E-3,-8.767517284E-4,-2.930800244E-2,2.946340107E-2
3.293969583E-1,1.815531868E-3,-9.949803352E-4,-2.843896486E-2,2.851422214E-2
3.393539583E-1,-9.597482858E-4,8.077127859E-4,-2.999744751E-2,3.002366356E-2
3.493109583E-1,3.026007675E-3,-5.667600781E-4,-2.765848301E-2,2.782929431E-2
