"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724254413592952E9,"2024-08-21 17:33:33.593 UTC+02:00"
"PAUSE",1.592285858333344E1,1.724254429515755E9,"2024-08-21 17:33:49.516 UTC+02:00"
