"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339633017229E9,"2024-08-22 17:13:53.017 UTC+02:00"
"PAUSE",1.091238650000014E1,1.724339643929004E9,"2024-08-22 17:14:03.929 UTC+02:00"
