"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-3.043333345E-4,-2.548450604E-3,5.179690197E-4,3.823150992E-1,3.823239438E-1
9.651666664E-3,-2.268610988E-3,2.082114108E-3,3.814656436E-1,3.814780716E-1
1.960866667E-2,-2.387654036E-3,5.060060415E-3,3.813036978E-1,3.813447457E-1
2.956466666E-2,-7.240904961E-4,1.046814956E-3,3.815953732E-1,3.815974960E-1
3.952066667E-2,-4.092989489E-3,3.183469176E-3,3.838212490E-1,3.838562729E-1
4.947666666E-2,-6.350088865E-3,2.504175529E-3,3.824376464E-1,3.824985593E-1
5.943266667E-2,-5.927179009E-3,1.003484242E-3,3.833050430E-1,3.833521806E-1
6.938866667E-2,-4.529760219E-3,2.879879437E-3,3.834377825E-1,3.834753519E-1
7.934466666E-2,-3.765166039E-3,1.587181352E-3,3.846753538E-1,3.846970541E-1
8.930166666E-2,-1.357426052E-3,1.862050034E-3,3.836846352E-1,3.836915546E-1
9.925766666E-2,-3.144140821E-3,4.672217183E-3,3.850926459E-1,3.851338224E-1
1.092136667E-1,-2.550812904E-3,2.766770311E-3,3.850770295E-1,3.850954171E-1
1.191696667E-1,-3.386779223E-3,1.960365102E-3,3.845728934E-1,3.845928024E-1
1.291256667E-1,-3.670879873E-3,2.814785577E-3,3.875957131E-1,3.876233161E-1
1.390816667E-1,-4.987546243E-3,2.834759653E-3,3.890016079E-1,3.890439081E-1
1.490376667E-1,-3.842443228E-3,2.197158523E-3,3.909437358E-1,3.909687922E-1
1.589936667E-1,-1.167830778E-3,2.458414529E-3,3.899309337E-1,3.899404322E-1
1.689506667E-1,-4.528947175E-3,5.431075115E-3,3.916809261E-1,3.917447585E-1
1.789066667E-1,-3.055420239E-3,1.696524676E-3,3.961598277E-1,3.961752426E-1
1.888626667E-1,-4.754189402E-3,1.172820106E-3,3.970811963E-1,3.971113878E-1
1.988186667E-1,-3.440984292E-3,8.559031412E-4,3.953551948E-1,3.953710953E-1
2.087746667E-1,-3.413837403E-3,2.665505745E-3,3.939228952E-1,3.939467052E-1
2.187306667E-1,-2.468947787E-3,3.409592900E-3,3.949953318E-1,3.950177631E-1
2.286866667E-1,-3.949248698E-3,4.418267868E-3,3.949129283E-1,3.949573884E-1
2.386426667E-1,-6.869670935E-3,5.918378010E-4,3.931019902E-1,3.931624567E-1
2.485996667E-1,-1.692814752E-3,2.672428265E-3,3.913625181E-1,3.913753033E-1
2.585556667E-1,-3.059282666E-3,3.701207228E-3,3.908466697E-1,3.908761662E-1
2.685116667E-1,-3.125004470E-3,3.259567078E-3,3.928189278E-1,3.928448809E-1
2.784676667E-1,-4.746602848E-3,4.091858864E-4,3.935539424E-1,3.935827782E-1
2.884236667E-1,-2.914151875E-3,2.829895355E-3,3.945607841E-1,3.945816936E-1
2.983796667E-1,-2.626263769E-3,1.063154079E-3,3.918328881E-1,3.918431316E-1
3.083356667E-1,-2.130239271E-3,-6.658649072E-4,3.877369761E-1,3.877433996E-1
