"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339083731737E9,"2024-08-22 17:04:43.732 UTC+02:00"
"PAUSE",1.059208283333282E1,1.724339094323236E9,"2024-08-22 17:04:54.323 UTC+02:00"
