"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.579208332E-3,2.860176028E-4,7.304996252E-4,1.508872360E-1,1.508892754E-1
8.376791669E-3,-9.790182812E-4,3.151107579E-3,1.440375894E-1,1.440753800E-1
1.833279167E-2,-2.335099969E-3,3.404640127E-3,1.427587420E-1,1.428184255E-1
2.828883333E-2,-9.006599430E-4,2.825830132E-3,1.461184025E-1,1.461485000E-1
3.824383334E-2,-1.605598722E-3,6.188685074E-4,1.538117379E-1,1.538213628E-1
4.819983333E-2,-7.502522785E-4,1.829550602E-3,1.540815085E-1,1.540941965E-1
5.815583334E-2,-1.468718983E-5,-1.798048615E-4,1.540213078E-1,1.540214135E-1
6.811183333E-2,-1.116702333E-3,2.108318731E-4,1.502426714E-1,1.502469693E-1
7.806783334E-2,-1.196064521E-3,2.193821594E-3,1.481156051E-1,1.481366798E-1
8.802383333E-2,9.929569205E-4,-1.126745716E-3,1.505676508E-1,1.505751407E-1
9.797883334E-2,-3.468104172E-3,2.112457529E-3,1.485061049E-1,1.485616149E-1
1.079348333E-1,-7.185594877E-4,7.812213153E-4,1.494748443E-1,1.494786129E-1
1.178908333E-1,-1.902600983E-3,1.457930543E-3,1.466087550E-1,1.466283482E-1
1.278468333E-1,2.645373344E-3,9.446851909E-4,1.456352323E-1,1.456623195E-1
1.378028333E-1,2.264541574E-3,1.947898418E-3,1.504065394E-1,1.504361976E-1
1.477578333E-1,1.135944622E-4,1.124930568E-3,1.557332873E-1,1.557373916E-1
1.577138333E-1,2.386336215E-3,8.535543457E-4,1.642074734E-1,1.642270303E-1
1.676698333E-1,-1.218365971E-3,4.280833527E-4,1.596923172E-1,1.596975387E-1
1.776258333E-1,-4.977144999E-4,-7.602190599E-4,1.497307569E-1,1.497335140E-1
1.875818333E-1,-1.621951931E-3,1.750400290E-3,1.423343122E-1,1.423543152E-1
1.975378333E-1,-1.094379812E-3,3.182381857E-3,1.435348690E-1,1.435743147E-1
2.074928333E-1,-1.824425417E-3,4.145184997E-3,1.493760198E-1,1.494446600E-1
2.174488333E-1,-2.224698663E-3,4.905294627E-4,1.533015221E-1,1.533184483E-1
2.274048333E-1,-2.516422421E-3,1.816296019E-3,1.574776322E-1,1.575082091E-1
2.373608333E-1,-3.857324133E-3,2.285811119E-3,1.578555256E-1,1.579191909E-1
2.473168333E-1,-1.171442680E-3,2.892142162E-3,1.479651481E-1,1.479980467E-1
2.572728333E-1,-4.475360271E-3,2.221291885E-3,1.414049715E-1,1.414932117E-1
2.672278333E-1,-2.719651442E-3,2.329579554E-3,1.382924318E-1,1.383387876E-1
2.771838333E-1,-2.566253301E-3,-1.788511872E-4,1.443737596E-1,1.443966763E-1
2.871398333E-1,-1.126255025E-3,1.902779564E-3,1.523155719E-1,1.523316200E-1
2.970958333E-1,-1.235747477E-4,4.195761401E-3,1.585827917E-1,1.586383355E-1
3.070518333E-1,-5.834258161E-3,-1.662550494E-4,1.628408432E-1,1.629454093E-1
3.170078333E-1,-1.596103772E-3,2.933398820E-3,1.571206301E-1,1.571561160E-1
3.269628333E-1,3.333376371E-4,2.489202656E-3,1.488344967E-1,1.488556840E-1
3.369188333E-1,-4.086190602E-4,8.492283523E-4,1.382186115E-1,1.382218243E-1
3.468748333E-1,-4.353845492E-3,3.292321693E-3,1.340391040E-1,1.341502022E-1
3.568308333E-1,-3.180152271E-5,1.764732413E-3,1.398623735E-1,1.398735100E-1
3.667868333E-1,-1.157911611E-3,1.603082754E-3,1.478819251E-1,1.478951467E-1
3.767428333E-1,-2.279368695E-3,2.480061725E-3,1.535792351E-1,1.536161700E-1
3.866978333E-1,-1.033194945E-3,2.933553420E-3,1.587241441E-1,1.587546130E-1
3.966538333E-1,-2.390341833E-3,4.565473646E-4,1.593641043E-1,1.593826838E-1
4.066098333E-1,-8.411880117E-4,4.484878853E-3,1.635459661E-1,1.636096109E-1
4.165658333E-1,-1.292327419E-3,-7.663425058E-4,1.615520567E-1,1.615590431E-1
4.265218333E-1,-3.885235172E-3,1.882142387E-3,1.516313553E-1,1.516927995E-1
4.364768333E-1,-7.174051134E-4,1.238989644E-3,1.400849521E-1,1.400922681E-1
4.464328333E-1,-4.143262748E-3,1.550120302E-3,1.425907016E-1,1.426593063E-1
4.563888333E-1,-5.360110663E-4,8.715465665E-4,1.455260366E-1,1.455296335E-1
4.663448333E-1,-2.145437524E-3,-6.458722055E-6,1.563327909E-1,1.563475118E-1
4.763008333E-1,-2.635193057E-3,2.969090827E-3,1.572819352E-1,1.573320275E-1
4.862568333E-1,-5.190385273E-4,1.541820355E-3,1.619234979E-1,1.619316701E-1
4.962118333E-1,-9.667158592E-4,3.881939687E-3,1.563436538E-1,1.563948275E-1
5.061678333E-1,-3.216145560E-3,1.177362166E-3,1.534509808E-1,1.534891960E-1
5.161238333E-1,-1.974313520E-3,7.134396583E-4,1.486160159E-1,1.486308417E-1
5.260798333E-1,-2.469862346E-3,1.362758689E-3,1.480005383E-1,1.480274187E-1
5.360358333E-1,-1.078893314E-3,-8.908081800E-4,1.498940438E-1,1.499005734E-1
5.459918333E-1,-6.640694337E-4,2.616504207E-3,1.518114209E-1,1.518354195E-1
5.559468333E-1,-2.346388297E-3,2.721698955E-3,1.502782404E-1,1.503211986E-1
5.659028333E-1,-2.959465608E-3,1.612524502E-3,1.494971514E-1,1.495351361E-1
