"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.657333335E-3,1.920633717E-3,-1.767558977E-3,-1.400412619E-1,1.400655851E-1
1.361333333E-2,1.049129060E-3,-3.645405173E-3,-1.459178030E-1,1.459671021E-1
2.356933333E-2,3.636922687E-3,-4.596686922E-3,-1.498925686E-1,1.500071293E-1
3.352533334E-2,4.440413788E-3,-4.839394242E-4,-1.512624323E-1,1.513283678E-1
4.348133333E-2,1.051148865E-5,1.320885494E-3,-1.495777220E-1,1.495835544E-1
5.343733334E-2,-5.683139898E-5,-4.766508937E-5,-1.483071595E-1,1.483071781E-1
6.339333333E-2,4.981713137E-4,-4.846900702E-4,-1.432098746E-1,1.432115613E-1
7.334833334E-2,-2.910769545E-4,-1.191229559E-3,-1.401683390E-1,1.401737030E-1
8.330433333E-2,-1.975999912E-4,-3.387538716E-3,-1.418882012E-1,1.419287713E-1
9.326033333E-2,2.407979220E-3,-1.396520995E-3,-1.464312524E-1,1.464577082E-1
1.032163333E-1,2.101982012E-3,-5.259336904E-4,-1.508739293E-1,1.508894876E-1
1.131723333E-1,3.268206026E-3,-3.029941581E-3,-1.528145671E-1,1.528795396E-1
1.231283333E-1,2.757677808E-3,2.212449908E-4,-1.471308470E-1,1.471568546E-1
1.330843333E-1,1.904818346E-3,-2.220232040E-3,-1.451932937E-1,1.452227609E-1
1.430403333E-1,2.728973050E-5,-1.289989799E-3,-1.392997205E-1,1.393056961E-1
1.529963333E-1,1.146260067E-3,-1.878606156E-3,-1.382858008E-1,1.383033108E-1
1.629523333E-1,1.544402679E-3,-2.752122469E-3,-1.441282481E-1,1.441627943E-1
1.729083333E-1,1.683628769E-3,1.336548477E-3,-1.478962451E-1,1.479118666E-1
1.828643333E-1,2.547558397E-3,-3.118387423E-3,-1.505623460E-1,1.506161825E-1
1.928193333E-1,1.308291568E-3,-4.200815223E-3,-1.490678042E-1,1.491327219E-1
2.027753333E-1,1.211618772E-3,-2.260169946E-3,-1.461662948E-1,1.461887893E-1
2.127313333E-1,1.245964319E-3,-2.310811542E-3,-1.408582628E-1,1.408827259E-1
2.226873333E-1,2.094980096E-3,-1.589095220E-3,-1.420620084E-1,1.420863413E-1
2.326433333E-1,8.603531169E-4,-2.788724378E-3,-1.431488991E-1,1.431786454E-1
2.425993333E-1,-3.793113865E-5,-2.930404618E-3,-1.453039348E-1,1.453334861E-1
2.525553333E-1,2.208653837E-3,-4.662107676E-3,-1.482748538E-1,1.483645702E-1
2.625113333E-1,3.036896931E-3,-9.345449507E-5,-1.516259015E-1,1.516563400E-1
2.724673333E-1,1.444446389E-3,-1.649298705E-3,-1.479199976E-1,1.479362440E-1
2.824233333E-1,-8.333552396E-4,1.778965816E-4,-1.470683217E-1,1.470707904E-1
2.923793333E-1,8.310991107E-4,-7.066009566E-4,-1.437268555E-1,1.437309953E-1
3.023353333E-1,-9.132714476E-4,-1.815540716E-3,-1.403776556E-1,1.403923661E-1
3.122903333E-1,-7.563317195E-5,-5.853204057E-4,-1.432476342E-1,1.432488500E-1
3.222463333E-1,2.736931201E-3,-1.399980858E-3,-1.482503861E-1,1.482822569E-1
3.322023333E-1,-3.649678547E-5,-1.681451686E-3,-1.478021294E-1,1.478116980E-1
3.421583333E-1,-8.338473272E-4,-2.233258449E-3,-1.471456587E-1,1.471649674E-1
3.521143333E-1,1.133281970E-3,-2.962150611E-3,-1.472205371E-1,1.472546950E-1
3.620703333E-1,1.200926257E-3,-2.656419761E-3,-1.436266005E-1,1.436561839E-1
3.720263333E-1,7.604886196E-4,-2.262867987E-3,-1.458862573E-1,1.459057880E-1
3.819823333E-1,-2.805410186E-4,-3.129460849E-3,-1.465453953E-1,1.465790746E-1
3.919383333E-1,2.429182641E-4,-1.745711081E-3,-1.499671787E-1,1.499775357E-1
4.018943333E-1,-5.935806548E-4,-2.352112904E-3,-1.480092108E-1,1.480290892E-1
4.118503333E-1,-1.708884723E-3,-3.413953818E-3,-1.453528106E-1,1.454029399E-1
4.218063333E-1,1.343364129E-3,-3.330330364E-3,-1.404256970E-1,1.404716060E-1
4.317613333E-1,3.611517139E-3,-3.924446180E-3,-1.422453970E-1,1.423453452E-1
4.417173333E-1,6.974863936E-4,-3.258655779E-3,-1.457820684E-1,1.458201522E-1
4.516733333E-1,-2.678073943E-4,-1.864708960E-3,-1.457162350E-1,1.457284118E-1
4.616293333E-1,3.041702788E-3,4.205498844E-4,-1.480044276E-1,1.480362773E-1
4.715853333E-1,1.258703880E-3,-6.326166913E-4,-1.506454349E-1,1.506520215E-1
4.815413333E-1,2.720512915E-3,-2.979394980E-3,-1.498113424E-1,1.498656608E-1
4.914977917E-1,2.047542948E-3,-2.641401254E-3,-1.459370553E-1,1.459753183E-1
5.014537917E-1,1.540353987E-4,-1.045634970E-3,-1.428150386E-1,1.428189494E-1
5.114097917E-1,2.303639194E-4,-7.866658270E-4,-1.399974227E-1,1.399998224E-1
5.213657917E-1,1.321194693E-3,-2.422112972E-3,-1.415311396E-1,1.415580293E-1
5.313217917E-1,7.407811936E-4,1.487555914E-3,-1.500906348E-1,1.500998342E-1
5.412777917E-1,3.092885017E-3,-1.520218328E-3,-1.554433256E-1,1.554815246E-1
5.512327917E-1,1.842500293E-3,-1.905105077E-3,-1.535349786E-1,1.535578519E-1
5.611887917E-1,7.231736672E-4,-8.196001872E-4,-1.481194347E-1,1.481234676E-1
5.711447917E-1,3.457457526E-3,-3.234373406E-3,-1.410012692E-1,1.410807326E-1
5.811007917E-1,1.736522885E-3,-1.506780274E-3,-1.352887899E-1,1.353083241E-1
5.910567917E-1,2.141519217E-3,-2.804785967E-3,-1.372931302E-1,1.373384743E-1
6.010127917E-1,1.670938684E-3,-2.412265167E-4,-1.390393674E-1,1.390496168E-1
6.109687917E-1,4.956061952E-3,-1.736212522E-3,-1.494049132E-1,1.494971741E-1
6.209247917E-1,2.302754670E-3,-1.346591860E-3,-1.541711837E-1,1.541942602E-1
6.308807917E-1,5.375741050E-3,-7.199971005E-4,-1.580134481E-1,1.581065045E-1
6.408367917E-1,1.996215433E-4,2.893405035E-4,-1.475323141E-1,1.475327328E-1
6.507927917E-1,1.785955159E-3,-2.407323569E-3,-1.428188384E-1,1.428502903E-1
6.607487917E-1,1.331975218E-4,-2.799874172E-3,-1.361121982E-1,1.361410575E-1
6.707037917E-1,-8.675477002E-4,-2.155453898E-3,-1.354676038E-1,1.354875282E-1
6.806597917E-1,-1.060626935E-3,-2.725103870E-3,-1.441721469E-1,1.442017998E-1
6.906157917E-1,2.587229013E-3,-6.347494200E-4,-1.509070694E-1,1.509305810E-1
7.005717917E-1,2.843691502E-3,-2.051550895E-3,-1.589953601E-1,1.590340215E-1
7.105277917E-1,1.088828780E-3,5.870331079E-4,-1.609108001E-1,1.609155547E-1
7.204837917E-1,3.906453028E-3,-2.113678493E-3,-1.540861726E-1,1.541501755E-1
7.304397917E-1,3.282479011E-3,-2.808019519E-3,-1.402725875E-1,1.403390839E-1
7.403957917E-1,7.000117912E-4,-2.875130624E-3,-1.343113631E-1,1.343439565E-1
7.503517917E-1,-1.910071587E-4,-5.010562018E-4,-1.354670078E-1,1.354680690E-1
7.603077917E-1,2.176542999E-3,-4.595108330E-4,-1.420277059E-1,1.420451257E-1
7.702637917E-1,3.425666830E-3,1.526094973E-3,-1.499547064E-1,1.500015938E-1
7.802197917E-1,4.783346318E-3,-5.218749866E-4,-1.577388644E-1,1.578122369E-1
7.901747917E-1,4.234370776E-3,-3.118662164E-3,-1.563069969E-1,1.563954387E-1
8.001307917E-1,1.216743258E-3,-3.160473891E-3,-1.495540291E-1,1.495923684E-1
8.100867917E-1,1.110450132E-3,-6.230473518E-4,-1.395724416E-1,1.395782495E-1
8.200427917E-1,-7.407130906E-4,-1.640907489E-3,-1.312133074E-1,1.312256578E-1
8.299987917E-1,1.021253411E-4,-3.173943609E-3,-1.318114549E-1,1.318497023E-1
8.399547917E-1,-2.485401928E-3,-1.989901997E-3,-1.418915242E-1,1.419272404E-1
8.499107917E-1,2.476155758E-3,-1.540846191E-3,-1.523232311E-1,1.523511480E-1
8.598667917E-1,3.570448607E-3,-9.618746117E-4,-1.570966691E-1,1.571401818E-1
8.698227917E-1,1.666496973E-3,1.996904612E-4,-1.574581712E-1,1.574671165E-1
8.797787917E-1,6.963074557E-4,-2.403549850E-3,-1.485142112E-1,1.485352915E-1
8.897347917E-1,-1.186336158E-4,-8.960328996E-4,-1.399203092E-1,1.399232285E-1
8.996907917E-1,-2.144234022E-3,-1.233188435E-3,-1.376648694E-1,1.376870901E-1
9.096457917E-1,-1.175604528E-3,4.456406459E-4,-1.411461383E-1,1.411517375E-1
9.196017917E-1,5.240248283E-4,2.059992403E-5,-1.446724385E-1,1.446733890E-1
