"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724333540431909E9,"2024-08-22 15:32:20.432 UTC+02:00"
"PAUSE",1.038397891666682E1,1.724333550815605E9,"2024-08-22 15:32:30.816 UTC+02:00"
