"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.719291668E-3,4.070373252E-3,-6.649596617E-4,-2.823668420E-1,2.823969610E-1
1.467529167E-2,7.583334809E-4,-2.886944450E-3,-2.855018973E-1,2.855175002E-1
2.463129167E-2,2.345044864E-3,-4.048614763E-3,-2.871650457E-1,2.872031581E-1
3.458629167E-2,4.480352160E-3,-1.064911485E-3,-2.862787247E-1,2.863157624E-1
4.454229167E-2,1.762329950E-3,-2.871333621E-3,-2.876742184E-1,2.876939455E-1
5.449829167E-2,5.305930972E-3,-2.500325441E-3,-2.865091860E-1,2.865692206E-1
6.445429167E-2,4.066495690E-3,-3.564791754E-3,-2.870924175E-1,2.871433445E-1
7.441029167E-2,1.992088975E-3,-3.753143363E-3,-2.892899513E-1,2.893211545E-1
8.436629167E-2,3.149498720E-3,-3.613859415E-3,-2.888420224E-1,2.888817980E-1
9.432129167E-2,2.065618290E-3,-2.104543149E-3,-2.836999297E-1,2.837152551E-1
1.042772917E-1,2.468554769E-3,-1.792953350E-3,-2.825715542E-1,2.825880247E-1
1.142332917E-1,1.858019037E-3,-2.279882319E-3,-2.795855105E-1,2.796009796E-1
1.241892917E-1,3.094258718E-3,-8.654771373E-4,-2.846324742E-1,2.846506084E-1
1.341452917E-1,1.811004942E-3,-3.346743993E-3,-2.932869196E-1,2.933116050E-1
1.441002917E-1,7.642528974E-3,-4.483914003E-3,-2.980784774E-1,2.982101481E-1
1.540562917E-1,5.568420514E-3,-4.081211984E-3,-2.934592366E-1,2.935404353E-1
1.640122917E-1,3.303934820E-3,-1.079030335E-3,-2.855371237E-1,2.855582765E-1
1.739682917E-1,1.919832779E-3,-4.849287681E-3,-2.809493840E-1,2.809977895E-1
1.839251250E-1,3.313997760E-3,-8.502854034E-4,-2.807349861E-1,2.807558334E-1
1.938811250E-1,2.354357857E-3,-2.586668357E-3,-2.857844234E-1,2.858058265E-1
2.038361250E-1,4.063574597E-3,-3.296933137E-3,-2.891559899E-1,2.892033349E-1
2.137921250E-1,3.070233390E-3,-4.391234368E-3,-2.885459065E-1,2.885956504E-1
2.237481250E-1,2.358370461E-3,-2.570698038E-3,-2.842172086E-1,2.842386182E-1
2.337041250E-1,5.086560734E-3,-3.581372090E-3,-2.794328928E-1,2.795021304E-1
2.436601250E-1,1.611668384E-3,-4.323860630E-3,-2.758626640E-1,2.759012552E-1
2.536151250E-1,1.171330456E-3,-4.087816924E-3,-2.785734832E-1,2.786059364E-1
2.635711250E-1,1.470935997E-3,-3.785547800E-3,-2.880388796E-1,2.880675098E-1
2.735271250E-1,2.509252401E-3,-1.458751038E-3,-2.919204831E-1,2.919349119E-1
2.834831250E-1,2.907661255E-3,-4.163190722E-3,-2.940779030E-1,2.941217430E-1
2.934391250E-1,2.601509681E-3,-2.320235595E-3,-2.943577170E-1,2.943783568E-1
3.033951250E-1,1.708285534E-3,-2.316241153E-3,-2.910726964E-1,2.910869249E-1
3.133501250E-1,5.757851992E-3,2.253716812E-4,-2.862097919E-1,2.862677918E-1
3.233061250E-1,4.645183217E-3,-2.869754098E-3,-2.830763161E-1,2.831289705E-1
3.332621250E-1,6.114760414E-3,-1.562587917E-3,-2.822913826E-1,2.823619249E-1
3.432181250E-1,9.133403073E-4,-3.905637190E-3,-2.868152857E-1,2.868433306E-1
3.531741250E-1,4.586065188E-3,-3.366809338E-3,-2.902790904E-1,2.903348373E-1
3.631291250E-1,3.965016454E-3,-3.784126602E-3,-2.877850235E-1,2.878372121E-1
3.730851250E-1,4.557972308E-3,-2.814657055E-3,-2.878862023E-1,2.879360396E-1
3.830411250E-1,3.873273265E-3,-4.086583853E-3,-2.895368338E-1,2.895915754E-1
3.929971250E-1,1.192465308E-3,-2.272192389E-3,-2.872395217E-1,2.872509838E-1
4.029531250E-1,6.316036452E-4,-2.098288387E-3,-2.839651704E-1,2.839736251E-1
4.129091250E-1,2.996229101E-3,-2.529572695E-3,-2.857691944E-1,2.857960962E-1
4.228641250E-1,4.260964226E-3,-4.539193586E-3,-2.919173837E-1,2.919837649E-1
4.328201250E-1,4.341255408E-3,-4.740087315E-3,-2.958804369E-1,2.959502456E-1
4.427761250E-1,7.604426704E-3,-4.071101546E-3,-2.976892292E-1,2.978141675E-1
4.527321250E-1,5.623513833E-3,-1.967025921E-3,-2.940454185E-1,2.941057654E-1
4.626881250E-1,6.455752067E-3,-4.244560376E-3,-2.867880464E-1,2.868920992E-1
4.726431250E-1,1.168444520E-3,-3.984141164E-3,-2.750059962E-1,2.750373367E-1
4.825991250E-1,2.038475941E-4,-1.330033876E-3,-2.720200717E-1,2.720233997E-1
4.925551250E-1,1.159487641E-3,-1.404292881E-3,-2.711465955E-1,2.711527110E-1
5.025111250E-1,5.014205235E-4,-4.594037309E-4,-2.824476957E-1,2.824485144E-1
5.124671250E-1,6.718515884E-3,-2.097639255E-3,-2.944704294E-1,2.945545320E-1
5.224221250E-1,6.304128096E-3,-4.267720506E-4,-2.956598103E-1,2.957273197E-1
5.323781250E-1,2.972370246E-3,-2.246033400E-3,-2.917978764E-1,2.918216584E-1
5.423341250E-1,3.663727082E-3,-2.854032442E-3,-2.830235660E-1,2.830616670E-1
5.522901250E-1,4.149325192E-3,-2.344300039E-3,-2.759998143E-1,2.760409573E-1
5.622461250E-1,7.777630817E-4,-3.190386109E-3,-2.757702470E-1,2.757897979E-1
5.722021250E-1,-1.528824563E-3,-1.977491193E-3,-2.831573188E-1,2.831683510E-1
5.821571250E-1,4.132256843E-3,-9.697508067E-4,-2.933399081E-1,2.933706149E-1
5.921131250E-1,5.473578349E-3,-1.457490027E-3,-2.924671173E-1,2.925219634E-1
6.020691250E-1,1.360326074E-3,-1.988258213E-3,-2.876792848E-1,2.876893717E-1
6.120251250E-1,3.826661035E-3,-4.712934606E-3,-2.818527520E-1,2.819181244E-1
6.219811250E-1,1.069756807E-3,-1.830595545E-3,-2.804825604E-1,2.804905741E-1
6.319371250E-1,2.405791543E-3,-2.282176167E-3,-2.856693864E-1,2.856886320E-1
6.418921250E-1,3.539499128E-3,-3.476870246E-3,-2.862297297E-1,2.862727280E-1
6.518481250E-1,3.582576755E-3,-2.487537451E-3,-2.947142720E-1,2.947465434E-1
6.618041250E-1,2.928237896E-3,-2.726956271E-3,-2.940008342E-1,2.940280623E-1
6.717601250E-1,3.871100023E-3,-1.026343554E-3,-2.920170724E-1,2.920445332E-1
6.817161250E-1,1.838309341E-3,-1.536338590E-3,-2.852720618E-1,2.852821217E-1
6.916711250E-1,3.562445985E-3,-9.775077924E-4,-2.819477916E-1,2.819719910E-1
7.016271250E-1,2.462826669E-3,-2.459290437E-3,-2.829312980E-1,2.829527046E-1
7.115831250E-1,5.603224039E-3,-3.923017532E-3,-2.839998603E-1,2.840822184E-1
7.215391250E-1,3.349656938E-3,-2.477719449E-3,-2.858326435E-1,2.858630081E-1
7.314951250E-1,4.276932683E-3,-4.223735072E-3,-2.876400650E-1,2.877028659E-1
7.414501250E-1,1.343993470E-3,-4.072465934E-3,-2.872887850E-1,2.873207916E-1
7.514061250E-1,2.061473904E-3,-4.316495731E-3,-2.849915326E-1,2.850316745E-1
7.613621250E-1,2.300892025E-3,-1.569978893E-3,-2.803461850E-1,2.803600228E-1
7.713181250E-1,1.714461949E-3,-2.023367211E-3,-2.773867249E-1,2.773994026E-1
7.812741250E-1,6.220332580E-4,-3.229779191E-3,-2.802384198E-1,2.802577212E-1
7.912301250E-1,1.842945232E-3,-1.397536136E-3,-2.865108550E-1,2.865201905E-1
8.011851250E-1,4.758574069E-3,-3.352029249E-3,-2.965991795E-1,2.966562883E-1
8.111411250E-1,4.172417335E-3,-1.936715096E-3,-3.019409478E-1,3.019759856E-1
8.210971250E-1,3.789721290E-3,-2.999848686E-3,-2.964098155E-1,2.964492197E-1
8.310531250E-1,4.042656161E-3,-2.703379840E-3,-2.878799438E-1,2.879210194E-1
8.410091250E-1,2.940906677E-3,-1.550497487E-3,-2.787671387E-1,2.787869628E-1
8.509641250E-1,6.572282873E-4,-2.801084891E-3,-2.757113874E-1,2.757263991E-1
8.609201250E-1,8.681506151E-4,-1.601064578E-3,-2.765452266E-1,2.765512239E-1
8.708761250E-1,2.112028189E-3,-3.528150730E-3,-2.841132581E-1,2.841430132E-1
8.808321250E-1,2.363430569E-3,-4.124965519E-3,-2.884379625E-1,2.884771384E-1
8.907881250E-1,4.496708047E-3,-3.945209086E-3,-2.941473126E-1,2.942081348E-1
9.007441250E-1,4.585923627E-3,-1.394432969E-3,-2.914143801E-1,2.914537975E-1
9.106991250E-1,2.519165864E-3,-2.715425566E-3,-2.868837118E-1,2.869076225E-1
9.206551250E-1,3.404134419E-3,-2.367083915E-3,-2.822223604E-1,2.822528156E-1
9.306111250E-1,4.048201721E-3,-2.964964136E-3,-2.798668146E-1,2.799117948E-1
9.405671250E-1,3.572294489E-3,-4.421712831E-3,-2.837265134E-1,2.837834513E-1
9.505231250E-1,5.368457059E-4,-1.757682301E-3,-2.866791189E-1,2.866850098E-1
9.604781250E-1,3.182696179E-3,-3.355578519E-3,-2.881984413E-1,2.882355478E-1
9.704341250E-1,3.863322083E-3,-3.072832711E-3,-2.882244587E-1,2.882667274E-1
9.803901250E-1,3.913655411E-3,-1.436053775E-3,-2.799564004E-1,2.799874373E-1
9.903461250E-1,2.723953687E-3,-1.620659605E-3,-2.769907713E-1,2.770089057E-1
1.000302125E0,4.401745275E-3,-2.025726251E-3,-2.801021338E-1,2.801440420E-1
1.010258125E0,4.295858089E-3,-2.452351153E-3,-2.840203643E-1,2.840634361E-1
1.020213125E0,9.437372210E-4,-2.377250232E-3,-2.896350920E-1,2.896463852E-1
1.030169125E0,4.105971660E-3,-1.549821347E-3,-2.947954237E-1,2.948280903E-1
1.040125125E0,4.738206044E-3,-4.106455483E-3,-3.025521338E-1,3.026170967E-1
1.050081125E0,8.000496775E-3,-1.831931062E-3,-3.005270064E-1,3.006390618E-1
1.060037125E0,7.225516252E-3,-2.197583206E-3,-2.929766774E-1,2.930740025E-1
1.069992125E0,1.613605069E-3,-4.489272833E-4,-2.822934687E-1,2.822984374E-1
1.079948125E0,3.026678227E-3,-2.707820386E-3,-2.804433703E-1,2.804727742E-1
1.089904125E0,-1.240241108E-3,-3.268234432E-3,-2.792443335E-1,2.792662123E-1
1.099860125E0,3.477016231E-3,-5.268269219E-3,-2.863533795E-1,2.864229429E-1
1.109816125E0,5.493478850E-3,-3.364983015E-3,-2.924838960E-1,2.925548339E-1
1.119771125E0,4.654849879E-3,-2.172419801E-3,-2.952399850E-1,2.952846690E-1
1.129727125E0,4.213931039E-3,-1.751606353E-3,-2.870549560E-1,2.870912278E-1
1.139683125E0,-3.776249941E-4,-2.645629458E-3,-2.808780074E-1,2.808907208E-1
1.149639125E0,2.195209265E-3,-1.414667815E-3,-2.754710913E-1,2.754834702E-1
1.159595125E0,3.468466457E-3,-2.210953273E-3,-2.777973413E-1,2.778277910E-1
1.169551125E0,3.707658034E-3,-2.379368991E-3,-2.855051756E-1,2.855391627E-1
1.179506125E0,3.501795698E-3,-4.840662703E-3,-2.895707786E-1,2.896324057E-1
1.189462125E0,3.488648683E-3,-2.823097631E-3,-2.952821553E-1,2.953162572E-1
1.199418125E0,4.319288768E-3,-1.459825784E-3,-2.920868993E-1,2.921224813E-1
1.209374125E0,3.155613784E-3,-1.356733963E-3,-2.871943414E-1,2.872148819E-1
1.219330125E0,7.561057573E-4,-2.701629885E-3,-2.834643126E-1,2.834781949E-1
1.229285125E0,3.110365011E-3,-7.539130747E-4,-2.800195813E-1,2.800378701E-1
1.239241125E0,1.975059509E-3,-2.766197547E-3,-2.791883945E-1,2.792090836E-1
1.249197125E0,2.566234674E-3,-4.508302547E-3,-2.853353322E-1,2.853824839E-1
1.259153125E0,4.339899868E-3,-1.887485385E-3,-2.906771004E-1,2.907156240E-1
1.269109125E0,3.058061469E-3,-2.222212963E-3,-2.964355052E-1,2.964596072E-1
1.279064125E0,3.456319682E-4,-1.644307747E-3,-2.947199047E-1,2.947246943E-1
1.289020125E0,5.451845005E-3,-1.043966040E-3,-2.883057296E-1,2.883591618E-1
1.298976125E0,4.507488105E-3,-1.564613543E-3,-2.833357453E-1,2.833759165E-1
1.308932125E0,6.334889680E-3,-3.614047542E-3,-2.814099491E-1,2.815044433E-1
1.318888125E0,3.356943140E-3,-1.353023574E-3,-2.776935101E-1,2.777170957E-1
1.328844125E0,4.311430268E-3,-2.937695011E-3,-2.793433070E-1,2.793920215E-1
1.338799125E0,8.314773440E-4,-9.073009714E-4,-2.851724327E-1,2.851750881E-1
1.348755125E0,4.681222141E-3,-2.451795153E-3,-2.895570695E-1,2.896052860E-1
1.358711125E0,3.027665662E-3,-2.756726928E-3,-2.914481759E-1,2.914769383E-1
1.368667125E0,2.350200433E-3,-2.993215807E-3,-2.921702564E-1,2.921950402E-1
1.378623125E0,1.751255477E-3,-3.842230886E-3,-2.863261998E-1,2.863573333E-1
1.388578125E0,4.054079764E-3,-4.300940782E-4,-2.807489336E-1,2.807785324E-1
1.398534125E0,1.085720491E-3,-2.226395532E-3,-2.802224159E-1,2.802333635E-1
1.408490125E0,1.572326175E-3,-2.426830120E-3,-2.824233472E-1,2.824381504E-1
1.418446125E0,1.255143667E-3,-3.185564652E-3,-2.848564088E-1,2.848769855E-1
1.428402125E0,6.310957018E-3,-1.951556653E-3,-2.940474451E-1,2.941216359E-1
1.438358125E0,2.325802809E-3,-1.577381976E-3,-2.913118601E-1,2.913254148E-1
1.448313125E0,4.216928501E-3,-1.211614348E-3,-2.904477417E-1,2.904808792E-1
1.458269125E0,1.057886751E-3,-1.679797657E-3,-2.870937586E-1,2.871006218E-1
1.468225125E0,1.442700159E-5,-2.360202372E-3,-2.853843570E-1,2.853941169E-1
1.478181125E0,3.127928823E-3,-1.795345917E-3,-2.847843468E-1,2.848071828E-1
1.488137125E0,2.195969457E-3,-3.946255893E-3,-2.829918563E-1,2.830278890E-1
1.498092125E0,5.020251498E-3,-3.918027505E-3,-2.883780897E-1,2.884483948E-1
1.508048125E0,4.078282975E-3,-2.155217342E-3,-2.847105563E-1,2.847479205E-1
1.518004125E0,2.376789227E-3,-2.537114546E-3,-2.850967050E-1,2.851179006E-1
1.527960125E0,3.157339059E-3,-2.298851497E-3,-2.832879424E-1,2.833148634E-1
1.537916125E0,3.374120221E-3,-1.530263573E-3,-2.829750180E-1,2.829992707E-1
1.547871125E0,4.590223078E-3,-2.002003603E-3,-2.825120687E-1,2.825564495E-1
1.557827125E0,1.874065259E-3,-6.816079840E-4,-2.827285826E-1,2.827356153E-1
1.567783125E0,3.281664103E-3,-9.409980848E-4,-2.840099037E-1,2.840304212E-1
1.577739125E0,5.209526047E-3,-3.082445823E-3,-2.862909138E-1,2.863548986E-1
1.587695125E0,5.364080425E-3,-1.239560544E-3,-2.893750966E-1,2.894274631E-1
1.597651125E0,2.628215123E-3,-2.610555850E-3,-2.907644510E-1,2.907880474E-1
1.607606125E0,3.407846438E-3,-3.796540201E-3,-2.932932973E-1,2.933376644E-1
1.617562125E0,5.102149677E-3,-2.991201356E-3,-2.920892835E-1,2.921491549E-1
1.627518125E0,4.559633322E-3,-1.417164691E-3,-2.893139124E-1,2.893533109E-1
1.637474125E0,2.748684026E-3,-4.116012715E-3,-2.841444612E-1,2.841875642E-1
1.647430125E0,3.873691894E-3,8.737863973E-4,-2.900779843E-1,2.901051637E-1
1.657385125E0,4.185548052E-3,-1.989111304E-3,-2.908918560E-1,2.909287666E-1
1.667341125E0,2.619204344E-3,-2.093296498E-3,-2.971106172E-1,2.971295356E-1
1.677297125E0,-4.916341277E-4,-2.957225777E-3,-2.915193141E-1,2.915347275E-1
1.687253125E0,2.090372145E-3,-1.986475661E-3,-2.874832153E-1,2.874976780E-1
1.697209125E0,5.293089431E-3,-1.345719211E-3,-2.839635611E-1,2.840160766E-1
