"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339148057928E9,"2024-08-22 17:05:48.058 UTC+02:00"
"PAUSE",1.035659750000195E1,1.724339158413955E9,"2024-08-22 17:05:58.414 UTC+02:00"
