"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724338143522772E9,"2024-08-22 16:49:03.523 UTC+02:00"
"PAUSE",1.077135425000233E1,1.724338154293532E9,"2024-08-22 16:49:14.294 UTC+02:00"
