"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-4.937083322E-4,3.310030093E-3,-6.893910468E-4,-1.198263764E-1,1.198740675E-1
9.462291666E-3,2.933192765E-3,-5.120243877E-4,-1.113018692E-1,1.113416897E-1
1.941829167E-2,2.612309530E-3,1.871275716E-3,-1.061616689E-1,1.062102904E-1
2.937429167E-2,1.812295872E-3,-4.183687270E-3,-1.051962674E-1,1.052950252E-1
3.932929167E-2,-1.174358069E-3,-1.153031364E-3,-1.029562578E-1,1.029694110E-1
4.928529167E-2,9.306045249E-4,6.326176226E-4,-1.082588807E-1,1.082647287E-1
5.924129167E-2,3.552080598E-3,-1.262278296E-3,-1.150872335E-1,1.151489554E-1
6.919729167E-2,1.833276358E-3,-1.291306689E-3,-1.172577143E-1,1.172791539E-1
7.915229167E-2,6.207581027E-4,-2.755309455E-3,-1.189805716E-1,1.190140895E-1
8.910829167E-2,7.334098336E-4,-9.941617027E-4,-1.142297536E-1,1.142364340E-1
9.906429167E-2,5.546701723E-4,-3.645643592E-4,-1.108868197E-1,1.108888062E-1
1.090202917E-1,-1.865876839E-3,-1.011179760E-3,-1.044646055E-1,1.044861607E-1
1.189762917E-1,2.194420435E-3,-3.058104776E-3,-1.033608615E-1,1.034293729E-1
1.289312917E-1,1.703599934E-3,-7.874937728E-4,-1.097726896E-1,1.097887325E-1
1.388872917E-1,3.879428259E-4,-4.423968494E-5,-1.151254773E-1,1.151261394E-1
1.488432917E-1,1.719523338E-3,-1.344394870E-3,-1.164434776E-1,1.164639327E-1
1.587992917E-1,2.035530750E-3,-3.520425409E-3,-1.164124981E-1,1.164835031E-1
1.687542917E-1,1.646176679E-3,-7.672496140E-4,-1.101386175E-1,1.101535911E-1
1.787102917E-1,8.332144353E-4,-5.956459790E-5,-1.057479382E-1,1.057512374E-1
1.886662917E-1,8.830155130E-4,-6.606392562E-4,-1.039596200E-1,1.039654690E-1
1.986222917E-1,2.120404039E-3,-1.560974866E-3,-1.106386185E-1,1.106699447E-1
2.085782917E-1,1.466331654E-3,-7.383245975E-4,-1.126767397E-1,1.126886992E-1
2.185332917E-1,1.293417881E-3,-9.068725631E-4,-1.145737395E-1,1.145846287E-1
2.284892917E-1,-1.257890486E-3,-3.334078006E-3,-1.138299182E-1,1.138856823E-1
2.384452917E-1,-8.252848638E-4,-3.951741382E-4,-1.116852611E-1,1.116890094E-1
2.484012917E-1,-3.192911390E-5,-8.859951049E-4,-1.047722250E-1,1.047759760E-1
2.583562917E-1,7.394660497E-4,-3.233043477E-3,-1.013025045E-1,1.013567798E-1
2.683122917E-1,2.138957148E-3,9.521143511E-4,-1.047696769E-1,1.047958342E-1
2.782682917E-1,1.019736985E-3,-1.758025028E-3,-1.128299981E-1,1.128483008E-1
2.882241667E-1,1.185918227E-3,-5.811741576E-4,-1.163467020E-1,1.163541973E-1
2.981801667E-1,2.414896386E-3,1.186124049E-3,-1.184101552E-1,1.184407171E-1
3.081351667E-1,5.023196340E-3,-6.932690740E-4,-1.148324683E-1,1.149443731E-1
3.180911667E-1,2.066131448E-3,7.331464440E-5,-1.059516147E-1,1.059717836E-1
3.280471667E-1,2.312135184E-4,-6.313575432E-4,-9.865508229E-2,9.865737343E-2
3.380031667E-1,-1.354735577E-4,-2.459789626E-3,-1.019662023E-1,1.019959574E-1
3.479581667E-1,2.095456468E-3,-1.387601718E-3,-1.090166569E-1,1.090456228E-1
3.579141667E-1,2.077808604E-3,-3.176284954E-4,-1.152796075E-1,1.152987688E-1
3.678701667E-1,1.377929817E-3,-2.107539214E-3,-1.195483878E-1,1.195749031E-1
3.778261667E-1,2.809522208E-3,-1.298434101E-3,-1.197557226E-1,1.197957113E-1
3.877811667E-1,2.861772082E-4,8.640531451E-4,-1.125625223E-1,1.125662023E-1
3.977371667E-1,-7.794359699E-4,-1.976035535E-3,-1.070776433E-1,1.070987111E-1
4.076931667E-1,2.483202610E-3,-1.856726594E-3,-1.031039432E-1,1.031505542E-1
4.176491667E-1,-1.899240771E-3,-5.238642916E-4,-1.068803295E-1,1.068984864E-1
4.276051667E-1,-4.541419912E-5,6.255563349E-4,-1.135875061E-1,1.135892377E-1
4.375601667E-1,2.201744122E-3,2.915175632E-3,-1.181715727E-1,1.182280276E-1
4.475161667E-1,3.179390449E-3,-5.687717348E-4,-1.146524698E-1,1.146979548E-1
4.574721667E-1,-7.616166258E-4,-8.043171838E-4,-1.104098931E-1,1.104154495E-1
4.674281667E-1,2.240192262E-4,-3.028322943E-3,-1.048825011E-1,1.049264502E-1
4.773831667E-1,1.825877931E-3,-2.044957131E-3,-1.070370525E-1,1.070721546E-1
4.873391667E-1,-7.033260772E-4,-1.633765176E-3,-1.092187166E-1,1.092331997E-1
4.972951667E-1,1.804149710E-3,-1.623563468E-3,-1.127603203E-1,1.127864387E-1
5.072511667E-1,1.983380411E-3,-1.851263456E-3,-1.146540940E-1,1.146861903E-1
5.172071667E-1,1.421293942E-3,-5.978411064E-4,-1.121156961E-1,1.121262984E-1
5.271621667E-1,-2.173490357E-4,-8.569667116E-4,-1.069310457E-1,1.069347004E-1
5.371181667E-1,8.259695023E-4,-2.781894989E-3,-1.048947349E-1,1.049348683E-1
5.470741667E-1,2.293637488E-3,-1.539531164E-3,-1.065339148E-1,1.065697233E-1
5.570301667E-1,9.418665431E-4,-8.009821177E-4,-1.102344096E-1,1.102413431E-1
5.669851667E-1,3.272089525E-4,8.292030543E-5,-1.146336868E-1,1.146341838E-1
5.769411667E-1,-1.009165426E-3,1.842937432E-3,-1.147383600E-1,1.147575971E-1
5.868971667E-1,9.975264547E-4,-1.637544483E-4,-1.116549522E-1,1.116595281E-1
5.968531667E-1,-7.007105742E-4,-5.637994036E-4,-1.072000489E-1,1.072038215E-1
6.068081667E-1,9.824071312E-4,-4.857685417E-4,-1.055885702E-1,1.055942577E-1
6.167641667E-1,-1.895042369E-3,3.653578460E-5,-1.035834178E-1,1.036007576E-1
6.267201667E-1,3.360439790E-3,-1.417816617E-3,-1.075717658E-1,1.076335800E-1
6.366761667E-1,-8.844770491E-5,-1.611505635E-3,-1.116388068E-1,1.116504722E-1
6.466321667E-1,2.313979203E-4,-1.327879727E-3,-1.134910360E-1,1.134990399E-1
6.565871667E-1,5.171902012E-3,-2.784735523E-3,-1.174331158E-1,1.175799303E-1
6.665431667E-1,-1.109429519E-3,1.702158712E-3,-1.137417033E-1,1.137598490E-1
6.764991667E-1,1.162790228E-3,5.644336343E-4,-1.083714515E-1,1.083791593E-1
6.864551667E-1,1.907364931E-4,-6.329240277E-4,-1.055295914E-1,1.055316618E-1
6.964101667E-1,2.511844505E-3,-2.661468461E-4,-1.051523238E-1,1.051826573E-1
7.063661667E-1,4.878418986E-4,-5.018366501E-4,-1.076330692E-1,1.076353446E-1
7.163221667E-1,-3.652664600E-4,-8.911173791E-5,-1.132469475E-1,1.132475717E-1
7.262781667E-1,3.382600378E-3,1.397730783E-3,-1.138879731E-1,1.139467685E-1
7.362341667E-1,-7.476750761E-4,-2.869174816E-3,-1.123515517E-1,1.123906684E-1
7.461891667E-1,1.062475494E-3,-2.971973270E-3,-1.084508151E-1,1.084967316E-1
7.561451667E-1,3.691138700E-4,-1.935090870E-3,-1.055101082E-1,1.055284973E-1
7.661011667E-1,2.972084912E-4,-8.876696229E-4,-1.030496135E-1,1.030538652E-1
7.760571667E-1,-2.304557944E-3,-1.496788114E-3,-1.090927124E-1,1.091273168E-1
7.860121667E-1,-4.944072571E-4,-1.560437493E-3,-1.149647161E-1,1.149763687E-1
7.959681667E-1,1.247767475E-3,9.442046285E-4,-1.178802848E-1,1.178906696E-1
8.059241667E-1,2.252844395E-3,-2.542139962E-3,-1.105856150E-1,1.106377695E-1
8.158801667E-1,1.708239550E-3,-1.190969720E-3,-1.057313979E-1,1.057519030E-1
8.258361667E-1,3.837969154E-3,-2.679676749E-3,-1.037545353E-1,1.038600706E-1
8.357911667E-1,7.047840627E-4,-1.505963504E-3,-1.054675281E-1,1.054806339E-1
8.457471667E-1,1.511455514E-3,3.174599260E-5,-1.091357693E-1,1.091462397E-1
8.557031667E-1,3.109294921E-3,-1.399560831E-3,-1.116305590E-1,1.116826226E-1
8.656591667E-1,3.436021507E-4,-1.829927787E-3,-1.161645874E-1,1.161795080E-1
8.756141667E-1,1.108920551E-3,-3.929985687E-4,-1.135529131E-1,1.135590077E-1
8.855701667E-1,6.660368526E-4,-2.034837380E-3,-1.098740175E-1,1.098948766E-1
8.955261667E-1,9.900542209E-4,-3.414321691E-4,-1.078798845E-1,1.078849678E-1
9.054821667E-1,1.738668885E-3,-1.342248172E-3,-1.103347838E-1,1.103566451E-1
9.154371667E-1,2.291667508E-3,7.148711011E-4,-1.122967005E-1,1.123223563E-1
9.253931667E-1,2.184075769E-3,-2.673734911E-3,-1.124679372E-1,1.125209133E-1
9.353491667E-1,2.997908974E-3,-2.729660831E-3,-1.134563610E-1,1.135287821E-1
9.453051667E-1,1.299877535E-3,-1.594888046E-3,-1.088392362E-1,1.088586822E-1
9.552611667E-1,-2.327946713E-4,-1.671290025E-3,-1.059626713E-1,1.059761064E-1
9.652161667E-1,8.852003375E-4,1.002447680E-4,-1.069528311E-1,1.069565413E-1
9.751721667E-1,-4.176627845E-4,-9.369784966E-4,-1.047940850E-1,1.047991060E-1
9.851281667E-1,3.240275546E-4,-1.879204996E-3,-1.130400300E-1,1.130561134E-1
9.950841667E-1,2.198617207E-3,-5.582794547E-4,-1.181857809E-1,1.182075480E-1
1.005039167E0,2.460672287E-3,-1.207217574E-4,-1.183892488E-1,1.184148797E-1
