"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724338464665441E9,"2024-08-22 16:54:24.665 UTC+02:00"
"PAUSE",1.206982950000020E1,1.724338476734606E9,"2024-08-22 16:54:36.735 UTC+02:00"
