"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339250039371E9,"2024-08-22 17:07:30.039 UTC+02:00"
"PAUSE",1.148845475000053E1,1.724339261527194E9,"2024-08-22 17:07:41.527 UTC+02:00"
