"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339920000097E9,"2024-08-22 17:18:40.000 UTC+02:00"
"PAUSE",4.185603458332480E0,1.724339924185469E9,"2024-08-22 17:18:44.185 UTC+02:00"
