"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.963583334E-3,-2.887482988E-3,2.705953550E-3,5.292602181E-1,5.292750119E-1
1.191958333E-2,-5.762750283E-3,4.299683962E-3,5.307044983E-1,5.307532017E-1
2.187558333E-2,-9.084511548E-3,4.905819427E-3,5.313111544E-1,5.314114584E-1
3.183158333E-2,-5.007394589E-3,3.892252222E-3,5.305882096E-1,5.306261130E-1
4.178658333E-2,-2.724532969E-3,4.781481810E-3,5.273743272E-1,5.274030400E-1
5.174258333E-2,-5.298950709E-3,4.921555985E-3,5.194399953E-1,5.194903361E-1
6.169858333E-2,-2.731663873E-3,5.218232051E-3,5.199369788E-1,5.199703394E-1
7.165458333E-2,-3.255073447E-3,2.194942906E-3,5.215456486E-1,5.215604249E-1
8.161058333E-2,-3.677983768E-3,2.323307097E-3,5.227720737E-1,5.227901744E-1
9.156658333E-2,-3.461641725E-3,5.510501098E-3,5.259122252E-1,5.259524857E-1
1.015225833E-1,-6.577273365E-3,6.648469716E-3,5.282323360E-1,5.283151176E-1
1.114775833E-1,-6.306868978E-3,3.785396926E-3,5.302514434E-1,5.303024600E-1
1.214335833E-1,-3.577395575E-3,2.156075090E-3,5.297185779E-1,5.297350452E-1
1.313895833E-1,-7.611500099E-3,2.597390208E-3,5.282793045E-1,5.283405199E-1
1.413455833E-1,7.707990007E-4,2.583541907E-3,5.258691311E-1,5.258760423E-1
1.513015833E-1,-4.268483259E-3,2.703188919E-3,5.232932568E-1,5.233176471E-1
1.612575833E-1,-7.240836974E-3,4.225984216E-3,5.190966725E-1,5.191643710E-1
1.712135833E-1,-4.920307081E-3,1.789674163E-3,5.181526542E-1,5.181791055E-1
1.811685833E-1,-5.172508303E-3,4.810763989E-3,5.220496655E-1,5.220974540E-1
1.911245833E-1,-5.486362148E-3,2.859771252E-3,5.244046450E-1,5.244411408E-1
2.010805833E-1,-2.733452711E-3,3.479488660E-3,5.266225338E-1,5.266411223E-1
2.110365833E-1,-2.799217356E-3,6.045947783E-3,5.299988985E-1,5.300407735E-1
2.209925833E-1,-2.508666599E-3,3.860025201E-3,5.298415422E-1,5.298615414E-1
2.309485833E-1,-4.399857949E-3,5.256443284E-3,5.292067528E-1,5.292511466E-1
2.409035833E-1,-6.447029766E-3,3.027910367E-3,5.263827443E-1,5.264309318E-1
2.508595833E-1,-2.443584614E-3,6.411968730E-3,5.234625340E-1,5.235075061E-1
2.608155833E-1,-4.848152865E-3,3.348268103E-3,5.219287872E-1,5.219620431E-1
2.707715833E-1,-4.624649882E-3,1.696651336E-3,5.245066285E-1,5.245297602E-1
2.807275833E-1,-3.465479240E-4,3.864464350E-3,5.244663954E-1,5.244807471E-1
2.906835833E-1,-2.932630945E-3,2.992602997E-3,5.254274607E-1,5.254441668E-1
3.006395833E-1,-4.075659905E-3,4.413133021E-3,5.294504166E-1,5.294844949E-1
3.105945833E-1,-5.309322383E-3,3.743728157E-3,5.312495828E-1,5.312893031E-1
3.205505833E-1,-5.232623313E-3,3.501380794E-3,5.290104151E-1,5.290478799E-1
3.305065833E-1,-2.869186923E-3,3.173531964E-3,5.244281888E-1,5.244456395E-1
3.404625833E-1,-2.683031838E-3,8.456632495E-4,5.232508183E-1,5.232583804E-1
3.504185833E-1,-4.697198048E-3,3.057893831E-3,5.216680765E-1,5.216981852E-1
3.603745833E-1,-5.198138766E-3,3.023006488E-3,5.266521573E-1,5.266864855E-1
3.703305833E-1,-3.347859019E-3,1.967055257E-3,5.248382688E-1,5.248526325E-1
3.802855833E-1,-4.061053507E-3,3.115410451E-3,5.278939605E-1,5.279187735E-1
3.902415833E-1,-1.684360439E-3,4.913618788E-3,5.247150660E-1,5.247407752E-1
4.001982083E-1,-3.226064146E-3,4.420933779E-3,5.252588987E-1,5.252874098E-1
4.101542083E-1,-6.741710939E-3,9.252419695E-4,5.277605057E-1,5.278043748E-1
4.201102083E-1,-2.918743761E-3,4.677369259E-3,5.226690769E-1,5.226981546E-1
