"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339041760878E9,"2024-08-22 17:04:01.761 UTC+02:00"
"PAUSE",1.033300962499925E1,1.724339052093319E9,"2024-08-22 17:04:12.093 UTC+02:00"
