"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724333573974690E9,"2024-08-22 15:32:53.975 UTC+02:00"
"PAUSE",1.036124324999946E1,1.724333584335650E9,"2024-08-22 15:33:04.336 UTC+02:00"
