"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339855452971E9,"2024-08-22 17:17:35.453 UTC+02:00"
"PAUSE",8.460466125001403E0,1.724339863912971E9,"2024-08-22 17:17:43.913 UTC+02:00"
