"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724338311149127E9,"2024-08-22 16:51:51.149 UTC+02:00"
"PAUSE",1.140963712499797E1,1.724338322558136E9,"2024-08-22 16:52:02.558 UTC+02:00"
