"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724254790355024E9,"2024-08-21 17:39:50.355 UTC+02:00"
"PAUSE",1.208547550000003E1,1.724254802440461E9,"2024-08-21 17:40:02.440 UTC+02:00"
