"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724254825827838E9,"2024-08-21 17:40:25.828 UTC+02:00"
"PAUSE",1.158776758333261E1,1.724254837415565E9,"2024-08-21 17:40:37.416 UTC+02:00"
