"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.851583333E-3,2.066713758E-3,4.309853539E-4,3.486651462E-3,4.076002030E-3
1.380858333E-2,1.217540819E-3,-9.655291215E-4,3.160244785E-3,3.521618837E-3
2.376458333E-2,1.296903007E-3,-4.520714283E-4,1.220931299E-3,1.837661346E-3
3.372158333E-2,-4.529186990E-4,1.239396632E-3,2.925232984E-4,1.351595072E-3
4.367858333E-2,1.794789103E-3,-1.787366346E-4,-1.300579403E-3,2.223672973E-3
5.363558333E-2,-1.409343677E-3,-2.742921934E-4,4.106254783E-3,4.350036109E-3
6.359258333E-2,-1.064036041E-6,7.696663961E-4,3.689203877E-3,3.768635395E-3
7.354958333E-2,-2.958534518E-3,2.565570176E-3,4.378148355E-3,5.873947551E-3
8.350658333E-2,2.180840820E-4,8.038887754E-4,4.050046206E-3,4.134812220E-3
9.346358333E-2,4.528244026E-4,2.670902759E-4,9.896405973E-4,1.120613969E-3
1.034195833E-1,6.669425638E-4,1.565692946E-4,-1.042617951E-3,1.247549004E-3
1.133765833E-1,-1.067063771E-3,-2.296841703E-3,-1.281597652E-4,2.535849331E-3
1.233335833E-1,7.691857172E-4,3.191819414E-4,2.848455217E-3,2.967696228E-3
1.332905833E-1,2.909527393E-4,2.308579162E-3,4.271011800E-3,4.863715970E-3
1.432475833E-1,-7.969485596E-4,4.291860387E-4,3.752494231E-3,3.860121839E-3
1.532045833E-1,-2.649090486E-3,-2.702828497E-4,2.245102078E-3,3.482989601E-3
1.631615833E-1,-2.558543114E-3,4.668803886E-4,2.079187892E-3,3.329736094E-3
1.731175833E-1,7.280963473E-4,-6.922250614E-4,1.768651884E-3,2.034067185E-3
1.830745833E-1,-1.343043987E-3,-6.370972842E-4,-2.440208104E-3,2.857319669E-3
1.930315833E-1,2.331497381E-4,1.654041000E-3,3.367396072E-3,3.758931594E-3
2.029885833E-1,-3.902544267E-5,-2.747897059E-3,5.831619725E-3,6.446723962E-3
2.129455833E-1,6.396919489E-4,1.081258059E-3,4.192922264E-3,4.377090574E-3
2.229025833E-1,1.300155884E-3,-5.565863103E-4,1.646141522E-3,2.170247809E-3
2.328595833E-1,-9.696511552E-5,4.466455430E-4,2.102026716E-3,2.151141741E-3
