"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724333509847722E9,"2024-08-22 15:31:49.848 UTC+02:00"
"PAUSE",1.049585866666712E1,1.724333520343294E9,"2024-08-22 15:32:00.343 UTC+02:00"
