"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339578588925E9,"2024-08-22 17:12:58.589 UTC+02:00"
"PAUSE",1.111479920833517E1,1.724339589703111E9,"2024-08-22 17:13:09.703 UTC+02:00"
