"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339495715261E9,"2024-08-22 17:11:35.715 UTC+02:00"
"PAUSE",1.042342620833369E1,1.724339506138113E9,"2024-08-22 17:11:46.138 UTC+02:00"
