"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724339297207556E9,"2024-08-22 17:08:17.208 UTC+02:00"
"PAUSE",1.045730404166534E1,1.724339307664284E9,"2024-08-22 17:08:27.664 UTC+02:00"
