"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.270541667E-3,2.487998689E-3,-1.928692684E-3,-2.229598612E-1,2.229820838E-1
1.422654167E-2,1.600367134E-3,2.798670903E-4,-2.165333927E-1,2.165394875E-1
2.418254167E-2,2.038409468E-3,-8.192854002E-4,-2.151608616E-1,2.151720770E-1
3.413854167E-2,5.270655965E-4,-1.558578573E-3,-2.117379010E-1,2.117442931E-1
4.409454167E-2,3.986326978E-3,-2.393673174E-3,-2.148788124E-1,2.149291151E-1
5.405054167E-2,1.918914961E-3,-5.037659779E-3,-2.161254436E-1,2.161926632E-1
6.400654167E-2,1.876411843E-3,-3.839701414E-3,-2.190161943E-1,2.190578864E-1
7.396254167E-2,3.859667806E-3,-3.675384447E-3,-2.238807231E-1,2.239441530E-1
8.391854167E-2,3.664073069E-3,-9.235702455E-4,-2.222718149E-1,2.223039319E-1
9.387454167E-2,2.999678254E-4,-2.030912787E-3,-2.200952023E-1,2.201047766E-1
1.038305417E-1,1.452251920E-3,-2.970475703E-3,-2.186398655E-1,2.186648658E-1
1.137865417E-1,5.601722747E-3,-2.535315230E-3,-2.199496180E-1,2.200355462E-1
1.237425417E-1,1.626646146E-3,-4.962207749E-4,-2.198084891E-1,2.198150679E-1
1.336985417E-1,2.716411604E-3,-2.390260808E-3,-2.179685086E-1,2.179985389E-1
1.436545417E-1,4.524359480E-3,-8.840244263E-4,-2.154780626E-1,2.155273690E-1
1.536105417E-1,8.969684131E-6,-3.372482955E-3,-2.128508538E-1,2.128775697E-1
1.635665417E-1,1.171951182E-3,-3.966829740E-3,-2.113868147E-1,2.114272798E-1
1.735225417E-1,5.628861836E-4,-1.740694046E-3,-2.161232531E-1,2.161309959E-1
1.834785417E-1,4.373873584E-3,-2.962962724E-3,-2.232445180E-1,2.233070190E-1
1.934345417E-1,3.302749945E-3,-2.268943004E-3,-2.227643579E-1,2.228003937E-1
2.033905417E-1,3.324310062E-3,-2.615034580E-3,-2.173498720E-1,2.173910217E-1
2.133465417E-1,7.839207537E-4,-1.658161171E-3,-2.171810269E-1,2.171887716E-1
2.233025417E-1,2.820778638E-3,-4.209687002E-3,-2.169945538E-1,2.170537137E-1
2.332585417E-1,4.492711276E-3,5.243625492E-5,-2.161125094E-1,2.161592096E-1
2.432145417E-1,3.395435866E-3,-1.282391138E-3,-2.190800160E-1,2.191100795E-1
2.531705417E-1,4.033262841E-3,-1.195572317E-3,-2.170632035E-1,2.171039633E-1
2.631265417E-1,3.956909757E-3,-3.861282021E-3,-2.186075896E-1,2.186774905E-1
2.730835417E-1,2.082576975E-3,-3.384842537E-3,-2.192302346E-1,2.192662538E-1
2.830395417E-1,1.089109574E-3,-2.422591671E-3,-2.213571072E-1,2.213730426E-1
2.929955417E-1,3.249732079E-3,-2.287835814E-3,-2.185024768E-1,2.185386175E-1
3.029515417E-1,1.251825364E-3,-1.738068648E-3,-2.169244140E-1,2.169349888E-1
3.129075417E-1,2.434535185E-3,6.569121033E-4,-2.146839052E-1,2.146987137E-1
3.228635417E-1,3.894232213E-4,-2.868162468E-3,-2.179341614E-1,2.179533820E-1
3.328195417E-1,7.055404130E-4,-1.813284121E-3,-2.222197205E-1,2.222282384E-1
3.427755417E-1,4.479511175E-3,-3.475245088E-3,-2.278116494E-1,2.278821866E-1
3.527315417E-1,2.487733029E-3,-1.385462470E-3,-2.260180116E-1,2.260359482E-1
3.626875417E-1,3.798924852E-3,-1.614059322E-3,-2.224366516E-1,2.224749446E-1
3.726435417E-1,2.445240039E-3,-2.423660830E-3,-2.194800079E-1,2.195070094E-1
3.825995417E-1,3.281532321E-3,-4.746299237E-5,-2.161809057E-1,2.162058156E-1
3.925555417E-1,2.345165005E-3,-3.088792786E-3,-2.137395889E-1,2.137747700E-1
4.025115417E-1,2.746613231E-3,-1.114428043E-3,-2.143458575E-1,2.143663510E-1
4.124675417E-1,1.772961346E-3,9.412663057E-4,-2.182492465E-1,2.182584774E-1
4.224235417E-1,1.623883029E-3,-1.244820654E-3,-2.207234055E-1,2.207328890E-1
4.323795417E-1,5.029799417E-3,-1.276246272E-3,-2.202871740E-1,2.203482850E-1
4.423355417E-1,3.758524079E-3,-6.535788998E-4,-2.168672979E-1,2.169008496E-1
4.522915417E-1,1.459150808E-3,-1.448266208E-3,-2.184931487E-1,2.185028206E-1
4.622475417E-1,3.024545731E-3,-2.509322017E-3,-2.191056907E-1,2.191409325E-1
4.722035417E-1,3.439200111E-3,-1.137261279E-3,-2.179520130E-1,2.179821127E-1
4.821595417E-1,3.053853754E-3,-1.233593561E-3,-2.194152027E-1,2.194399211E-1
4.921155417E-1,2.093251562E-3,-9.726034477E-4,-2.192058712E-1,2.192180231E-1
5.020715417E-1,1.721109962E-3,-1.303798519E-3,-2.199145854E-1,2.199251849E-1
5.120275417E-1,3.723540809E-3,-2.197821625E-3,-2.209393680E-1,2.209816723E-1
5.219835417E-1,3.892092034E-3,-1.687382348E-3,-2.219575793E-1,2.219981140E-1
5.319395417E-1,1.558630378E-3,-2.114586532E-4,-2.169231325E-1,2.169288350E-1
5.418955417E-1,-5.606653867E-4,-2.208152786E-3,-2.115287185E-1,2.115409866E-1
5.518515417E-1,-8.922289126E-4,1.222531311E-3,-2.112227231E-1,2.112281454E-1
5.618075417E-1,2.027327428E-4,-4.965644330E-4,-2.135344595E-1,2.135351331E-1
5.717635417E-1,5.582318176E-3,-1.515223645E-3,-2.255120277E-1,2.255861982E-1
5.817195417E-1,3.719291184E-3,-7.963012904E-4,-2.252269387E-1,2.252590534E-1
5.916755417E-1,4.772571381E-3,-2.895404585E-3,-2.237547487E-1,2.238243695E-1
6.016325417E-1,2.589921467E-3,5.975551903E-5,-2.167477161E-1,2.167631973E-1
6.115885417E-1,3.265009727E-4,-1.355981454E-3,-2.148438245E-1,2.148483517E-1
6.215445417E-1,8.329380071E-4,-2.635872923E-3,-2.118754685E-1,2.118935010E-1
6.315005417E-1,1.548972214E-4,1.281370409E-3,-2.173533142E-1,2.173571464E-1
6.414565417E-1,1.495645498E-3,-2.634854056E-3,-2.150693387E-1,2.150906782E-1
6.514125417E-1,1.202431507E-3,-1.960009336E-3,-2.165023834E-1,2.165145941E-1
6.613685417E-1,1.657604473E-3,-1.976983622E-3,-2.176412046E-1,2.176564955E-1
6.713245417E-1,2.940449165E-3,-2.656621858E-3,-2.194276601E-1,2.194634409E-1
6.812805417E-1,1.945491415E-3,-1.650773920E-3,-2.173186392E-1,2.173336166E-1
6.912365417E-1,1.417386578E-3,-1.847036183E-4,-2.149862349E-1,2.149909866E-1
7.011925417E-1,-7.095442852E-4,-8.912691846E-4,-2.107564807E-1,2.107595596E-1
7.111485417E-1,7.935438771E-4,-1.502997242E-3,-2.140441537E-1,2.140509015E-1
7.211045417E-1,2.351890318E-3,-2.167190425E-3,-2.221841216E-1,2.222071376E-1
7.310605417E-1,5.031829234E-3,-2.784766257E-4,-2.318934649E-1,2.319482182E-1
7.410165417E-1,4.447652027E-3,-1.249941997E-3,-2.289563417E-1,2.290029484E-1
7.509725417E-1,4.174944479E-3,-2.140237018E-3,-2.250761241E-1,2.251250151E-1
7.609285417E-1,1.360081253E-3,-3.997022286E-4,-2.163730115E-1,2.163776552E-1
7.708845417E-1,1.242369530E-3,-1.577618532E-3,-2.113454938E-1,2.113550333E-1
7.808405417E-1,1.772413263E-3,-1.776129007E-3,-2.144549042E-1,2.144695830E-1
7.907965417E-1,-3.543870989E-4,1.472393982E-3,-2.170512080E-1,2.170564913E-1
8.007525417E-1,2.744415775E-3,-2.164389938E-3,-2.219192535E-1,2.219467762E-1
8.107085417E-1,4.410755821E-3,3.062244505E-4,-2.210473269E-1,2.210915405E-1
8.206645417E-1,4.261092283E-3,-2.187761478E-3,-2.202000767E-1,2.202521668E-1
8.306205417E-1,2.587561961E-3,-4.853053018E-3,-2.196637243E-1,2.197325633E-1
8.405765417E-1,2.552228048E-3,-2.607966773E-3,-2.148412764E-1,2.148722630E-1
8.505325417E-1,2.911222167E-3,-4.356863908E-3,-2.138673663E-1,2.139315495E-1
8.604885417E-1,6.665991968E-4,3.894511610E-4,-2.155439556E-1,2.155453382E-1
8.704445417E-1,1.569410786E-3,-3.231648356E-3,-2.241936326E-1,2.242224153E-1
8.804005417E-1,2.991178306E-3,2.141846344E-4,-2.293070108E-1,2.293266191E-1
8.903565417E-1,9.048579959E-4,-4.058857448E-3,-2.222174108E-1,2.222563177E-1
9.003125417E-1,1.466011861E-3,-1.482964493E-3,-2.167357355E-1,2.167457668E-1
9.102695417E-1,1.001822995E-3,-2.878993750E-3,-2.092439979E-1,2.092662011E-1
9.202251667E-1,-3.279753728E-4,-6.511509418E-4,-2.114450186E-1,2.114462756E-1
9.301811667E-1,2.089109737E-3,-1.666348428E-3,-2.158805132E-1,2.158970520E-1
9.401371667E-1,1.972243190E-3,-5.904166028E-4,-2.257929295E-1,2.258023148E-1
9.500931667E-1,5.711587612E-3,-2.403496765E-3,-2.297122926E-1,2.297958581E-1
9.600491667E-1,3.652057145E-3,-1.239588484E-3,-2.232872099E-1,2.233205145E-1
9.700051667E-1,5.371393636E-3,-1.749317162E-3,-2.206205875E-1,2.206928988E-1
9.799611667E-1,6.842450239E-5,-1.272064634E-3,-2.128260136E-1,2.128298261E-1
