"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724333464700732E9,"2024-08-22 15:31:04.701 UTC+02:00"
"PAUSE",1.046573854166672E1,1.724333475166185E9,"2024-08-22 15:31:15.166 UTC+02:00"
