"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724338498564783E9,"2024-08-22 16:54:58.565 UTC+02:00"
"PAUSE",1.254754137499913E1,1.724338511111633E9,"2024-08-22 16:55:11.112 UTC+02:00"
