"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.724338359257146E9,"2024-08-22 16:52:39.257 UTC+02:00"
"PAUSE",1.160183816666904E1,1.724338370858345E9,"2024-08-22 16:52:50.858 UTC+02:00"
