"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.184583315E-4,1.488381531E-3,2.284422517E-4,1.925632358E-3,2.444488785E-3
1.047545833E-2,1.685600728E-4,-5.941204727E-4,-5.836300552E-4,8.497150555E-4
2.043245833E-2,-2.670635935E-3,-9.344611317E-5,-2.975683659E-3,3.999465178E-3
3.038945833E-2,7.680385606E-4,-2.425921150E-3,-1.276310533E-3,2.846742916E-3
4.034645833E-2,-2.761182375E-3,1.266551204E-3,-1.047849655E-4,3.039615099E-3
5.030345833E-2,-4.838038236E-3,-1.069054939E-3,1.732867211E-3,5.249030501E-3
6.026045833E-2,2.738996409E-4,9.794486687E-4,4.387773573E-3,4.504097872E-3
7.021745833E-2,9.950326057E-4,-1.583043486E-4,5.980059505E-4,1.171648953E-3
8.017445833E-2,-9.498738218E-4,1.323211938E-3,-2.076342702E-3,2.639005329E-3
9.013145833E-2,-1.979758963E-5,1.168996096E-5,1.583140343E-3,1.583307281E-3
1.000884583E-1,-1.340991817E-3,-4.050945863E-4,7.572956383E-4,1.592437554E-3
1.100444583E-1,-4.813259002E-4,1.601628028E-3,1.097686589E-3,2.000450651E-3
1.200014583E-1,-1.068286598E-3,1.391238533E-3,1.564539969E-3,2.350439581E-3
1.299584583E-1,7.929814747E-4,-8.810972795E-4,3.404065967E-3,3.604555054E-3
1.399154583E-1,-1.845146064E-3,-2.519207075E-3,5.877725780E-4,3.177490344E-3
1.498724583E-1,-1.142257592E-3,-1.417875290E-3,2.187225968E-3,2.845888293E-3
1.598294583E-1,2.283366397E-3,4.615178332E-4,5.806993693E-3,6.256831192E-3
1.697864583E-1,1.841409365E-3,5.849711597E-4,1.577794552E-3,2.494476970E-3
1.797434583E-1,9.029114153E-4,-2.968590707E-5,9.527504444E-4,1.312959895E-3
1.897004583E-1,-1.284622354E-3,-1.383213326E-3,-3.652513027E-3,4.111494268E-3
1.996574583E-1,-4.688962363E-4,-1.174687408E-3,-2.927865833E-3,3.189381213E-3
2.096144583E-1,-1.223014900E-3,-1.052174717E-3,-2.336435020E-3,2.839324864E-3
2.195714583E-1,-4.718946293E-3,1.595539972E-3,1.677215099E-3,5.256163278E-3
2.295284583E-1,-8.253792766E-4,-3.735395148E-4,-3.427416086E-4,9.686353957E-4
2.394854583E-1,1.656953013E-3,1.426757313E-3,1.340109855E-3,2.564570947E-3
2.494414583E-1,-2.091929782E-3,3.305142745E-4,3.119830042E-3,3.770775701E-3
2.593984583E-1,5.949336337E-4,4.919022322E-4,-1.460008323E-3,1.651526003E-3
2.693554583E-1,5.772889126E-4,-2.977605909E-4,-2.746433020E-4,7.052324450E-4
2.793124583E-1,-4.416366573E-4,-2.679331228E-4,-1.589711756E-3,1.671530604E-3
2.892694583E-1,1.474097604E-3,-1.796821132E-3,-6.320402026E-4,2.408527506E-3
2.992264583E-1,-2.401334466E-3,1.526004635E-3,5.844905972E-4,2.904604383E-3
3.091834583E-1,-9.488039650E-4,5.520973355E-5,2.332825214E-3,2.518997927E-3
3.191404583E-1,-3.866106272E-4,-1.133891754E-3,2.556532621E-3,2.823302557E-3
3.290974583E-1,-2.087945584E-3,2.439660951E-3,4.677202553E-3,5.673419255E-3
3.390544583E-1,-3.765984438E-4,1.714462414E-4,2.065971494E-3,2.107002234E-3
3.490114583E-1,2.368796850E-3,-6.180256605E-5,1.296829432E-3,2.701256124E-3
3.589684583E-1,-9.915796109E-4,-1.031460240E-3,-2.201765776E-3,2.625816613E-3
3.689254583E-1,1.755549107E-3,4.829224199E-4,5.366504192E-4,1.898199253E-3
3.788824583E-1,1.981118927E-3,1.678414643E-3,3.645356745E-3,4.475548426E-3
3.888394583E-1,-1.367078396E-3,-2.418602817E-3,3.037877381E-3,4.116702795E-3
3.987954583E-1,2.630425151E-4,2.736211754E-3,1.851972193E-3,3.314490478E-3
4.087524583E-1,2.807427663E-4,-5.208607763E-5,8.853673935E-4,9.302714022E-4
4.187094583E-1,1.633628621E-3,1.571110450E-3,1.066192985E-3,2.504775039E-3
4.286664583E-1,-2.332453150E-3,3.533726558E-4,2.600982785E-3,3.511455735E-3
4.386234583E-1,-2.626443747E-4,1.957127824E-4,1.246500760E-3,1.288817173E-3
4.485804583E-1,-5.080639385E-4,-2.795346081E-4,-1.579016447E-3,1.682130049E-3
4.585374583E-1,-1.701086294E-4,3.660153598E-4,2.335030586E-3,2.369656520E-3
4.684944583E-1,3.859482240E-4,-1.424207352E-3,1.023523510E-4,1.479120893E-3
4.784514583E-1,-1.083850395E-3,-2.220561728E-4,3.859773278E-4,1.171758985E-3
4.884084583E-1,-2.482696436E-4,2.687066793E-3,4.161782563E-4,2.730415739E-3
4.983654583E-1,-1.791304909E-3,1.190369949E-3,5.336254835E-4,2.215967068E-3
5.083224583E-1,-1.575592905E-3,-1.843004487E-3,2.791557461E-3,3.697560223E-3
