"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-2.031583332E-3,-2.361234510E-4,2.527972683E-4,7.753256708E-2,7.753333876E-2
7.924416666E-3,-1.486211200E-3,1.844302751E-3,7.833258063E-2,7.836838306E-2
1.788041667E-2,5.412846804E-4,1.162145287E-3,7.695870847E-2,7.696938599E-2
2.783641667E-2,-4.363617627E-4,-5.862200633E-4,7.659251988E-2,7.659600621E-2
3.779241667E-2,-1.216666657E-3,1.360103488E-3,7.445280254E-2,7.447516341E-2
4.774850000E-2,-1.013733796E-3,2.205923200E-3,7.615163177E-2,7.619031943E-2
5.770450000E-2,-2.374187578E-3,6.085447967E-4,7.793157548E-2,7.797010677E-2
6.766050000E-2,-4.484559176E-4,1.564886421E-3,7.758323103E-2,7.760030747E-2
7.761650000E-2,1.287087798E-4,8.657807484E-4,7.732010633E-2,7.732506052E-2
8.757250000E-2,-4.681056598E-4,-3.302441910E-4,7.606522739E-2,7.606738461E-2
9.752850000E-2,-5.885182181E-4,1.684483141E-4,7.385375351E-2,7.385629043E-2
1.074845000E-1,-3.746664152E-4,3.623263910E-4,7.571849972E-2,7.572029355E-2
1.174405000E-1,-8.415954653E-5,1.812420785E-3,7.662242651E-2,7.664390515E-2
1.273965000E-1,-3.160377033E-3,9.663347155E-4,7.680005580E-2,7.687112824E-2
1.373525000E-1,-2.209929982E-3,3.315584734E-3,7.724834979E-2,7.735104678E-2
1.473085000E-1,-8.863389958E-4,9.203376248E-4,7.829523832E-2,7.830566366E-2
1.572645000E-1,-6.280653179E-4,2.690638416E-3,7.634098083E-2,7.639096383E-2
1.672205000E-1,-1.361795003E-4,9.457347915E-4,7.639823854E-2,7.640421331E-2
1.771765000E-1,-1.704383874E-3,9.875539690E-4,7.740870863E-2,7.743376756E-2
1.871325000E-1,3.236046294E-3,2.312166616E-4,7.736875862E-2,7.743675011E-2
1.970885000E-1,-2.992590889E-3,1.139333472E-3,7.980354130E-2,7.986775874E-2
2.070445000E-1,1.367003657E-3,2.174237743E-3,8.010713756E-2,8.014829691E-2
2.170005000E-1,-3.006814513E-4,2.926880494E-3,7.894869894E-2,7.900350690E-2
2.269565000E-1,1.229837188E-3,8.876975626E-4,7.454595715E-2,7.456138567E-2
2.369125000E-1,2.085748129E-3,2.055777237E-3,7.417110354E-2,7.422889710E-2
2.468685000E-1,-1.085544238E-3,-1.198604703E-3,7.156813145E-2,7.158639884E-2
2.568245000E-1,-3.733052872E-4,-8.513927460E-4,7.515938580E-2,7.516513487E-2
2.667805000E-1,-2.447641455E-3,1.498579979E-3,7.778047025E-2,7.783340056E-2
2.767365000E-1,-4.834542051E-5,1.670599915E-3,8.105202764E-2,8.106925697E-2
2.866925000E-1,-2.811108483E-3,1.127847470E-3,8.243820071E-2,8.249382587E-2
2.966485000E-1,1.072062645E-3,7.819347084E-4,7.809620351E-2,7.810747558E-2
3.066045000E-1,-1.517595141E-3,1.612042077E-3,7.599923015E-2,7.603147215E-2
3.165595000E-1,4.720961442E-4,-1.796108671E-3,7.487627119E-2,7.489929818E-2
3.265155000E-1,-1.653372659E-3,1.695827581E-3,7.231751084E-2,7.235628409E-2
3.364715000E-1,-2.005625051E-3,3.043271601E-3,7.649986446E-2,7.658663915E-2
3.464275000E-1,-5.619088188E-5,-4.934063181E-4,7.977075875E-2,7.977230446E-2
3.563835000E-1,-9.851090144E-4,1.093142666E-3,7.961918414E-2,7.963278146E-2
3.663395000E-1,6.974760327E-4,5.756905302E-4,7.906418294E-2,7.906935510E-2
3.762955000E-1,-1.408221084E-3,-1.517551020E-3,7.799705118E-2,7.802452205E-2
3.862515000E-1,-4.601432011E-5,-7.082168013E-4,7.245901227E-2,7.246248786E-2
3.962075000E-1,1.464860979E-4,2.614664845E-3,6.849776953E-2,6.854781077E-2
4.061635000E-1,9.598154575E-4,-1.273257658E-4,7.109248638E-2,7.109907930E-2
4.161195000E-1,3.496180288E-4,1.209756359E-3,7.665655017E-2,7.666689264E-2
4.260755000E-1,3.086053184E-4,1.660895534E-3,8.105050027E-2,8.106810350E-2
4.360315000E-1,-1.115901396E-3,3.048168495E-3,8.262983710E-2,8.269357016E-2
4.459875000E-1,9.629621636E-4,-1.574280672E-3,7.766810060E-2,7.769002192E-2
4.559435000E-1,-1.502879895E-3,2.049393952E-4,7.373066992E-2,7.374626997E-2
4.658995000E-1,7.456270978E-4,1.333586872E-3,7.321454585E-2,7.323048639E-2
4.758555000E-1,-3.013717942E-3,3.345143981E-3,7.604235411E-2,7.617553480E-2
4.858115000E-1,1.023633871E-3,1.693984494E-3,7.771162689E-2,7.773682759E-2
4.957675000E-1,1.010826090E-4,-6.361715496E-4,7.946112752E-2,7.946373839E-2
5.057235000E-1,-1.473111915E-3,2.659490332E-3,7.789066434E-2,7.794997459E-2
5.156795000E-1,-3.157658037E-3,1.300448552E-3,7.695271075E-2,7.702844710E-2
5.256355000E-1,-1.614622655E-3,3.003540449E-3,7.667334378E-2,7.674913620E-2
5.355915000E-1,-2.065299544E-3,1.031445339E-3,7.395705581E-2,7.399307701E-2
5.455475000E-1,-1.267416286E-3,1.071392559E-3,7.384520024E-2,7.386384653E-2
5.555035000E-1,-2.203630982E-3,5.761180073E-4,7.684330642E-2,7.687705538E-2
5.654595000E-1,-1.879258081E-3,9.372429922E-4,7.843427360E-2,7.846238150E-2
5.754155000E-1,-3.243222600E-4,9.938795120E-4,7.660339028E-2,7.661052397E-2
